,time,trial,time_penalty,gameState,bad_trials,gold_id,dig_success,dist_from_gold
0,801163,1,0,Retrieval,,amethystTorus0003,True,1.29479408
1,807496,1,0,Retrieval,,rubyHeart0002,True,0.9717813
2,819747,1,0,Retrieval,,,False,-1.0
3,913496,2,0,Retrieval,,diamondRound0007,True,1.11077464
4,916963,2,0,Retrieval,,emeraldRectangle0005,True,1.63777244
5,920412,2,0,Retrieval,,goldDeposit0004,True,0.5841746999999999
6,1028343,3,0,Retrieval,,saphireTeardrop0008,False,7.48209524
7,1032761,3,0,Retrieval,,saphireTeardrop0008,False,6.651619
8,1041628,3,0,Retrieval,,goldDeposit0009,False,8.570955
9,1140292,4,0,Retrieval,,emeraldRectangle0015,False,4.1321373
10,1141242,4,0,Retrieval,,emeraldRectangle0015,False,4.97728968
11,1146192,4,0,Retrieval,,goldDeposit0012,False,8.370814
12,1147858,4,0,Retrieval,,goldDeposit0012,False,8.841253
13,1156091,4,0,Retrieval,,amethystTorus0014,False,3.09297276
14,1156758,4,0,Retrieval,,amethystTorus0014,True,1.39981389
15,1253973,5,0,Retrieval,,citrineGeo0017,True,1.5953403700000002
16,1260074,5,0,Retrieval,,yellowMoon0016,False,5.31376171
17,1264058,5,0,Retrieval,,yellowMoon0016,False,6.081641
18,1266758,5,0,Retrieval,,yellowMoon0016,False,8.04745
19,1267841,5,0,Retrieval,,goldDeposit0019,False,7.335559
20,1270891,5,0,Retrieval,,goldDeposit0019,False,4.32498741
21,1363806,6,0,Retrieval,,amethystTorus0023,True,0.704781055
22,1366656,6,0,Retrieval,,saphireTeardrop0021,False,3.66308379
23,1368090,6,0,Retrieval,,saphireTeardrop0021,False,4.50522
24,1369556,6,0,Retrieval,,saphireTeardrop0021,True,1.8155578399999999
25,1378106,6,0,Retrieval,,diamondRound0022,False,10.3724232
26,1378856,6,0,Retrieval,,diamondRound0022,False,8.992687
27,1379706,6,0,Retrieval,,diamondRound0022,False,7.968669
28,1381689,6,0,Retrieval,,diamondRound0022,False,5.508806
29,1383772,6,0,Retrieval,,diamondRound0022,False,8.499317
30,1387089,6,0,Retrieval,,emeraldRectangle0020,True,1.53161347
31,1477688,7,0,Retrieval,,goldDeposit0025,False,18.0544472
32,1478588,7,0,Retrieval,,goldDeposit0025,False,19.3341446
33,1479370,7,0,Retrieval,,goldDeposit0025,False,20.3545132
34,1480371,7,0,Retrieval,,goldDeposit0025,False,22.5857525
35,1487454,7,0,Retrieval,,citrineGeo0027,False,4.247003
36,1491154,7,0,Retrieval,,citrineGeo0027,False,7.46884871
