,time,trial,time_penalty,gameState,bad_trials,gold_id,dig_success,dist_from_gold
0,829954,1,0,Retrieval,,gold0001,False,22.31859
1,935001,2,1,Retrieval,,gold0002,False,14.28936
2,1017501,3,0,Retrieval,,gold0003,True,0.3194981
3,1104616,4,1,Retrieval,,gold0004,True,0.5394827
4,1198030,5,1,Retrieval,,gold0006,False,6.650988
5,1275863,6,0,Retrieval,,gold0007,False,8.436379
6,1379745,7,1,Retrieval,,gold0009,True,0.9614632
7,1463776,8,0,Retrieval,,gold0010,True,1.35347
8,1558775,9,1,Retrieval,,gold0012,True,1.7488489999999999
9,1648472,10,1,Retrieval,,gold0014,False,15.9685
10,1859053,12,1,Retrieval,,gold0016,True,0.01948167
11,1988251,13,0,Retrieval,,gold0017,False,10.91578
12,2074900,14,0,Retrieval,,gold0018,True,0.9388928
13,2267929,16,1,Retrieval,,gold0020,True,1.808631
14,2550708,19,0,Retrieval,,gold0023,False,6.758761
15,2555258,19,0,Retrieval,,gold0023,True,2.505396
16,2735955,21,0,Retrieval,,gold0025,False,3.240883
17,2898536,23,0,Retrieval,,gold0027,False,4.956831
18,2909436,23,0,Retrieval,,gold0027,False,11.54889
19,2994483,24,0,Retrieval,,gold0028,True,0.5840257
20,3078316,25,1,Retrieval,,gold0029,False,3.936993
21,3084949,25,1,Retrieval,,gold0029,True,1.209532
22,3201764,26,0,Retrieval,,gold0031,True,1.104492
23,3207997,26,0,Retrieval,,gold0030,True,1.074603
24,3311879,27,0,Retrieval,,gold0034,True,1.592852
25,3488760,29,0,Retrieval,,gold0039,False,7.236801
26,3657524,31,1,Retrieval,,gold0041,True,1.416783
27,3753203,32,0,Retrieval,,gold0042,False,3.990125
28,3829571,33,1,Retrieval,,gold0043,True,1.387075
29,3911735,34,0,Retrieval,,gold0044,True,0.8904820999999999
30,4080116,36,1,Retrieval,,gold0047,True,0.216116
