,time,trial,time_penalty,gameState,bad_trials,gold_id,gold_x,gold_z
128,841597,2,0,Encoding,,yellowMoon0006,25.0449238,1.70740736
129,1180492,5,0,Encoding,,yellowMoon0016,8.368829,24.5838642
130,1633885,9,0,Encoding,,yellowMoon0034,11.5544653,25.0891418
131,1740017,10,0,Encoding,,yellowMoon0037,13.3812141,12.794721599999999
132,2301259,15,0,Encoding,,yellowMoon0056,24.768362,15.8127823
133,2530323,17,0,Encoding,,yellowMoon0066,21.03275,7.265311
134,2646103,18,0,Encoding,,yellowMoon0070,13.96529,8.080566
135,2752986,19,0,Encoding,,yellowMoon0075,13.711071,25.664669
136,2865802,20,0,Encoding,,yellowMoon0077,7.898677,20.2104874
137,3209263,23,0,Encoding,,yellowMoon0091,26.2236614,21.2081947
138,3565392,26,0,Encoding,,yellowMoon0103,20.2510681,14.0415907
139,3785670,28,0,Encoding,,yellowMoon0109,14.2164021,15.1686592
140,3899687,29,0,Encoding,,yellowMoon0113,7.897396,12.349507299999999
141,4225930,32,0,Encoding,,yellowMoon0124,24.77724,3.23496938
142,4336579,33,0,Encoding,,yellowMoon0131,7.08427143,6.766195
143,4548794,35,0,Encoding,,yellowMoon0139,6.602309,12.5423431
