,subj_sess,trial,trial_phase,gameState,index,time,duration,time_bins,time_bin_dur,n_time_bins
0,U554_ses0,1,1,Delay1,"[13, 28]","[709082, 719099]",10017,"[709082 709582 710082 710582 711082 711582 712082 712582 713082 713582
 714082 714582 715082 715582 716082 716582 717082 717582 718082 718582
 719082]",10000,20
1,U554_ses0,1,2,Encoding,"[28, 1956]","[719099, 749115]",30016,"[719099 719599 720099 720599 721099 721599 722099 722599 723099 723599
 724099 724599 725099 725599 726099 726599 727099 727599 728099 728599
 729099 729599 730099 730599 731099 731599 732099 732599 733099 733599
 734099 734599 735099 735599 736099 736599 737099 737599 738099 738599
 739099 739599 740099 740599 741099 741599 742099 742599 743099 743599
 744099 744599 745099 745599 746099 746599 747099 747599 748099 748599
 749099]",30000,60
2,U554_ses0,1,3,ReturnToBase1,"[1956, 2551]","[749115, 758631]",9516,"[749115 749615 750115 750615 751115 751615 752115 752615 753115 753615
 754115 754615 755115 755615 756115 756615 757115 757615 758115 758615]",9500,19
3,U554_ses0,1,4,Delay2,"[2733, 2748]","[782698, 792714]",10016,"[782698 783198 783698 784198 784698 785198 785698 786198 786698 787198
 787698 788198 788698 789198 789698 790198 790698 791198 791698 792198
 792698]",10000,20
4,U554_ses0,1,5,Retrieval,"[2748, 4354]","[792714, 822730]",30016,"[792714 793214 793714 794214 794714 795214 795714 796214 796714 797214
 797714 798214 798714 799214 799714 800214 800714 801214 801714 802214
 802714 803214 803714 804214 804714 805214 805714 806214 806714 807214
 807714 808214 808714 809214 809714 810214 810714 811214 811714 812214
 812714 813214 813714 814214 814714 815214 815714 816214 816714 817214
 817714 818214 818714 819214 819714 820214 820714 821214 821714 822214
 822714]",30000,60
5,U554_ses0,1,6,ReturnToBase2,"[4354, 4678]","[822730, 829547]",6817,"[822730 823230 823730 824230 824730 825230 825730 826230 826730 827230
 827730 828230 828730 829230]",6500,13
6,U554_ses0,2,1,Delay1,"[4696, 4712]","[831580, 841597]",10017,"[831580 832080 832580 833080 833580 834080 834580 835080 835580 836080
 836580 837080 837580 838080 838580 839080 839580 840080 840580 841080
 841580]",10000,20
7,U554_ses0,2,2,Encoding,"[4712, 6434]","[841597, 871613]",30016,"[841597 842097 842597 843097 843597 844097 844597 845097 845597 846097
 846597 847097 847597 848097 848597 849097 849597 850097 850597 851097
 851597 852097 852597 853097 853597 854097 854597 855097 855597 856097
 856597 857097 857597 858097 858597 859097 859597 860097 860597 861097
 861597 862097 862597 863097 863597 864097 864597 865097 865597 866097
 866597 867097 867597 868097 868597 869097 869597 870097 870597 871097
 871597]",30000,60
8,U554_ses0,2,3,ReturnToBase1,"[6434, 6435]","[871613, 871613]",0,[],0,0
9,U554_ses0,2,4,Delay2,"[6595, 6610]","[895663, 905678]",10015,"[895663 896163 896663 897163 897663 898163 898663 899163 899663 900163
 900663 901163 901663 902163 902663 903163 903663 904163 904663 905163
 905663]",10000,20
