,subj_sess,trial,trial_phase,gameState,index,time,duration,time_bins,time_bin_dur,n_time_bins
10,U554_ses0,2,5,Retrieval,"[6610, 7995]","[905678, 935694]",30016,"[905678 906178 906678 907178 907678 908178 908678 909178 909678 910178
 910678 911178 911678 912178 912678 913178 913678 914178 914678 915178
 915678 916178 916678 917178 917678 918178 918678 919178 919678 920178
 920678 921178 921678 922178 922678 923178 923678 924178 924678 925178
 925678 926178 926678 927178 927678 928178 928678 929178 929678 930178
 930678 931178 931678 932178 932678 933178 933678 934178 934678 935178
 935678]",30000,60
11,U554_ses0,2,6,ReturnToBase2,"[7995, 8304]","[935694, 943745]",8051,"[935694 936194 936694 937194 937694 938194 938694 939194 939694 940194
 940694 941194 941694 942194 942694 943194 943694]",8000,16
12,U554_ses0,3,1,Delay1,"[8321, 8336]","[945762, 955778]",10016,"[945762 946262 946762 947262 947762 948262 948762 949262 949762 950262
 950762 951262 951762 952262 952762 953262 953762 954262 954762 955262
 955762]",10000,20
13,U554_ses0,3,2,Encoding,"[8336, 10285]","[955778, 985795]",30017,"[955778 956278 956778 957278 957778 958278 958778 959278 959778 960278
 960778 961278 961778 962278 962778 963278 963778 964278 964778 965278
 965778 966278 966778 967278 967778 968278 968778 969278 969778 970278
 970778 971278 971778 972278 972778 973278 973778 974278 974778 975278
 975778 976278 976778 977278 977778 978278 978778 979278 979778 980278
 980778 981278 981778 982278 982778 983278 983778 984278 984778 985278
 985778]",30000,60
14,U554_ses0,3,3,ReturnToBase1,"[10285, 10286]","[985795, 985795]",0,[],0,0
15,U554_ses0,3,4,Delay2,"[10465, 10481]","[1009844, 1019861]",10017,"[1009844 1010344 1010844 1011344 1011844 1012344 1012844 1013344 1013844
 1014344 1014844 1015344 1015844 1016344 1016844 1017344 1017844 1018344
 1018844 1019344 1019844]",10000,20
16,U554_ses0,3,5,Retrieval,"[10481, 12421]","[1019861, 1049877]",30016,"[1019861 1020361 1020861 1021361 1021861 1022361 1022861 1023361 1023861
 1024361 1024861 1025361 1025861 1026361 1026861 1027361 1027861 1028361
 1028861 1029361 1029861 1030361 1030861 1031361 1031861 1032361 1032861
 1033361 1033861 1034361 1034861 1035361 1035861 1036361 1036861 1037361
 1037861 1038361 1038861 1039361 1039861 1040361 1040861 1041361 1041861
 1042361 1042861 1043361 1043861 1044361 1044861 1045361 1045861 1046361
 1046861 1047361 1047861 1048361 1048861 1049361 1049861]",30000,60
17,U554_ses0,3,6,ReturnToBase2,"[12421, 12939]","[1049877, 1057893]",8016,"[1049877 1050377 1050877 1051377 1051877 1052377 1052877 1053377 1053877
 1054377 1054877 1055377 1055877 1056377 1056877 1057377 1057877]",8000,16
18,U554_ses0,4,1,Delay1,"[12958, 12973]","[1059910, 1069927]",10017,"[1059910 1060410 1060910 1061410 1061910 1062410 1062910 1063410 1063910
 1064410 1064910 1065410 1065910 1066410 1066910 1067410 1067910 1068410
 1068910 1069410 1069910]",10000,20
19,U554_ses0,4,2,Encoding,"[12973, 14710]","[1069927, 1099944]",30017,"[1069927 1070427 1070927 1071427 1071927 1072427 1072927 1073427 1073927
 1074427 1074927 1075427 1075927 1076427 1076927 1077427 1077927 1078427
 1078927 1079427 1079927 1080427 1080927 1081427 1081927 1082427 1082927
 1083427 1083927 1084427 1084927 1085427 1085927 1086427 1086927 1087427
 1087927 1088427 1088927 1089427 1089927 1090427 1090927 1091427 1091927
 1092427 1092927 1093427 1093927 1094427 1094927 1095427 1095927 1096427
 1096927 1097427 1097927 1098427 1098927 1099427 1099927]",30000,60
20,U554_ses0,4,3,ReturnToBase1,"[14710, 14711]","[1099944, 1099944]",0,[],0,0
21,U554_ses0,4,4,Delay2,"[14876, 14892]","[1123993, 1134009]",10016,"[1123993 1124493 1124993 1125493 1125993 1126493 1126993 1127493 1127993
 1128493 1128993 1129493 1129993 1130493 1130993 1131493 1131993 1132493
 1132993 1133493 1133993]",10000,20
22,U554_ses0,4,5,Retrieval,"[14892, 16626]","[1134009, 1164026]",30017,"[1134009 1134509 1135009 1135509 1136009 1136509 1137009 1137509 1138009
 1138509 1139009 1139509 1140009 1140509 1141009 1141509 1142009 1142509
 1143009 1143509 1144009 1144509 1145009 1145509 1146009 1146509 1147009
 1147509 1148009 1148509 1149009 1149509 1150009 1150509 1151009 1151509
 1152009 1152509 1153009 1153509 1154009 1154509 1155009 1155509 1156009
 1156509 1157009 1157509 1158009 1158509 1159009 1159509 1160009 1160509
 1161009 1161509 1162009 1162509 1163009 1163509 1164009]",30000,60
23,U554_ses0,4,6,ReturnToBase2,"[16626, 16848]","[1164026, 1168476]",4450,[1164026 1164526 1165026 1165526 1166026 1166526 1167026 1167526 1168026],4000,8
24,U554_ses0,5,1,Delay1,"[16864, 16884]","[1170476, 1180492]",10016,"[1170476 1170976 1171476 1171976 1172476 1172976 1173476 1173976 1174476
 1174976 1175476 1175976 1176476 1176976 1177476 1177976 1178476 1178976
 1179476 1179976 1180476]",10000,20
25,U554_ses0,5,2,Encoding,"[16884, 18823]","[1180492, 1210509]",30017,"[1180492 1180992 1181492 1181992 1182492 1182992 1183492 1183992 1184492
 1184992 1185492 1185992 1186492 1186992 1187492 1187992 1188492 1188992
 1189492 1189992 1190492 1190992 1191492 1191992 1192492 1192992 1193492
 1193992 1194492 1194992 1195492 1195992 1196492 1196992 1197492 1197992
 1198492 1198992 1199492 1199992 1200492 1200992 1201492 1201992 1202492
 1202992 1203492 1203992 1204492 1204992 1205492 1205992 1206492 1206992
 1207492 1207992 1208492 1208992 1209492 1209992 1210492]",30000,60
26,U554_ses0,5,3,ReturnToBase1,"[18823, 18824]","[1210509, 1210509]",0,[],0,0
27,U554_ses0,5,4,Delay2,"[19002, 19018]","[1234574, 1244590]",10016,"[1234574 1235074 1235574 1236074 1236574 1237074 1237574 1238074 1238574
 1239074 1239574 1240074 1240574 1241074 1241574 1242074 1242574 1243074
 1243574 1244074 1244574]",10000,20
28,U554_ses0,5,5,Retrieval,"[19018, 20820]","[1244590, 1274608]",30018,"[1244590 1245090 1245590 1246090 1246590 1247090 1247590 1248090 1248590
 1249090 1249590 1250090 1250590 1251090 1251590 1252090 1252590 1253090
 1253590 1254090 1254590 1255090 1255590 1256090 1256590 1257090 1257590
 1258090 1258590 1259090 1259590 1260090 1260590 1261090 1261590 1262090
 1262590 1263090 1263590 1264090 1264590 1265090 1265590 1266090 1266590
 1267090 1267590 1268090 1268590 1269090 1269590 1270090 1270590 1271090
 1271590 1272090 1272590 1273090 1273590 1274090 1274590]",30000,60
29,U554_ses0,5,6,ReturnToBase2,"[20820, 21196]","[1274608, 1281307]",6699,"[1274608 1275108 1275608 1276108 1276608 1277108 1277608 1278108 1278608
 1279108 1279608 1280108 1280608 1281108]",6500,13
30,U554_ses0,6,1,Delay1,"[21215, 21231]","[1283308, 1293324]",10016,"[1283308 1283808 1284308 1284808 1285308 1285808 1286308 1286808 1287308
 1287808 1288308 1288808 1289308 1289808 1290308 1290808 1291308 1291808
 1292308 1292808 1293308]",10000,20
31,U554_ses0,6,2,Encoding,"[21231, 22990]","[1293324, 1323340]",30016,"[1293324 1293824 1294324 1294824 1295324 1295824 1296324 1296824 1297324
 1297824 1298324 1298824 1299324 1299824 1300324 1300824 1301324 1301824
 1302324 1302824 1303324 1303824 1304324 1304824 1305324 1305824 1306324
 1306824 1307324 1307824 1308324 1308824 1309324 1309824 1310324 1310824
 1311324 1311824 1312324 1312824 1313324 1313824 1314324 1314824 1315324
 1315824 1316324 1316824 1317324 1317824 1318324 1318824 1319324 1319824
 1320324 1320824 1321324 1321824 1322324 1322824 1323324]",30000,60
32,U554_ses0,6,3,ReturnToBase1,"[22990, 22991]","[1323340, 1323340]",0,[],0,0
33,U554_ses0,6,4,Delay2,"[23158, 23175]","[1347389, 1357390]",10001,"[1347389 1347889 1348389 1348889 1349389 1349889 1350389 1350889 1351389
 1351889 1352389 1352889 1353389 1353889 1354389 1354889 1355389 1355889
 1356389 1356889 1357389]",10000,20
34,U554_ses0,6,5,Retrieval,"[23175, 24647]","[1357390, 1387404]",30014,"[1357390 1357890 1358390 1358890 1359390 1359890 1360390 1360890 1361390
 1361890 1362390 1362890 1363390 1363890 1364390 1364890 1365390 1365890
 1366390 1366890 1367390 1367890 1368390 1368890 1369390 1369890 1370390
 1370890 1371390 1371890 1372390 1372890 1373390 1373890 1374390 1374890
 1375390 1375890 1376390 1376890 1377390 1377890 1378390 1378890 1379390
 1379890 1380390 1380890 1381390 1381890 1382390 1382890 1383390 1383890
 1384390 1384890 1385390 1385890 1386390 1386890 1387390]",30000,60
35,U554_ses0,6,6,ReturnToBase2,"[24647, 24846]","[1387404, 1392473]",5069,"[1387404 1387904 1388404 1388904 1389404 1389904 1390404 1390904 1391404
 1391904 1392404]",5000,10
36,U554_ses0,7,1,Delay1,"[24865, 24880]","[1394488, 1404504]",10016,"[1394488 1394988 1395488 1395988 1396488 1396988 1397488 1397988 1398488
 1398988 1399488 1399988 1400488 1400988 1401488 1401988 1402488 1402988
 1403488 1403988 1404488]",10000,20
37,U554_ses0,7,2,Encoding,"[24880, 26813]","[1404504, 1434522]",30018,"[1404504 1405004 1405504 1406004 1406504 1407004 1407504 1408004 1408504
 1409004 1409504 1410004 1410504 1411004 1411504 1412004 1412504 1413004
 1413504 1414004 1414504 1415004 1415504 1416004 1416504 1417004 1417504
 1418004 1418504 1419004 1419504 1420004 1420504 1421004 1421504 1422004
 1422504 1423004 1423504 1424004 1424504 1425004 1425504 1426004 1426504
 1427004 1427504 1428004 1428504 1429004 1429504 1430004 1430504 1431004
 1431504 1432004 1432504 1433004 1433504 1434004 1434504]",30000,60
38,U554_ses0,7,3,ReturnToBase1,"[26813, 26814]","[1434522, 1434522]",0,[],0,0
39,U554_ses0,7,4,Delay2,"[26995, 27010]","[1458571, 1468588]",10017,"[1458571 1459071 1459571 1460071 1460571 1461071 1461571 1462071 1462571
 1463071 1463571 1464071 1464571 1465071 1465571 1466071 1466571 1467071
 1467571 1468071 1468571]",10000,20
40,U554_ses0,7,5,Retrieval,"[27010, 28959]","[1468588, 1498603]",30015,"[1468588 1469088 1469588 1470088 1470588 1471088 1471588 1472088 1472588
 1473088 1473588 1474088 1474588 1475088 1475588 1476088 1476588 1477088
 1477588 1478088 1478588 1479088 1479588 1480088 1480588 1481088 1481588
 1482088 1482588 1483088 1483588 1484088 1484588 1485088 1485588 1486088
 1486588 1487088 1487588 1488088 1488588 1489088 1489588 1490088 1490588
 1491088 1491588 1492088 1492588 1493088 1493588 1494088 1494588 1495088
 1495588 1496088 1496588 1497088 1497588 1498088 1498588]",30000,60
41,U554_ses0,7,6,ReturnToBase2,"[28959, 29267]","[1498603, 1503304]",4701,"[1498603 1499103 1499603 1500103 1500603 1501103 1501603 1502103 1502603
 1503103]",4500,9
42,U554_ses0,8,1,Delay1,"[29286, 29301]","[1505320, 1515321]",10001,"[1505320 1505820 1506320 1506820 1507320 1507820 1508320 1508820 1509320
 1509820 1510320 1510820 1511320 1511820 1512320 1512820 1513320 1513820
 1514320 1514820 1515320]",10000,20
43,U554_ses0,8,2,Encoding,"[29301, 31060]","[1515321, 1545337]",30016,"[1515321 1515821 1516321 1516821 1517321 1517821 1518321 1518821 1519321
 1519821 1520321 1520821 1521321 1521821 1522321 1522821 1523321 1523821
 1524321 1524821 1525321 1525821 1526321 1526821 1527321 1527821 1528321
 1528821 1529321 1529821 1530321 1530821 1531321 1531821 1532321 1532821
 1533321 1533821 1534321 1534821 1535321 1535821 1536321 1536821 1537321
 1537821 1538321 1538821 1539321 1539821 1540321 1540821 1541321 1541821
 1542321 1542821 1543321 1543821 1544321 1544821 1545321]",30000,60
44,U554_ses0,8,3,ReturnToBase1,"[31060, 31427]","[1545337, 1551636]",6299,"[1545337 1545837 1546337 1546837 1547337 1547837 1548337 1548837 1549337
 1549837 1550337 1550837 1551337]",6000,12
45,U554_ses0,8,4,Delay2,"[31599, 31614]","[1575703, 1585719]",10016,"[1575703 1576203 1576703 1577203 1577703 1578203 1578703 1579203 1579703
 1580203 1580703 1581203 1581703 1582203 1582703 1583203 1583703 1584203
 1584703 1585203 1585703]",10000,20
46,U554_ses0,8,5,Retrieval,"[31614, 33074]","[1585719, 1615735]",30016,"[1585719 1586219 1586719 1587219 1587719 1588219 1588719 1589219 1589719
 1590219 1590719 1591219 1591719 1592219 1592719 1593219 1593719 1594219
 1594719 1595219 1595719 1596219 1596719 1597219 1597719 1598219 1598719
 1599219 1599719 1600219 1600719 1601219 1601719 1602219 1602719 1603219
 1603719 1604219 1604719 1605219 1605719 1606219 1606719 1607219 1607719
 1608219 1608719 1609219 1609719 1610219 1610719 1611219 1611719 1612219
 1612719 1613219 1613719 1614219 1614719 1615219 1615719]",30000,60
47,U554_ses0,8,6,ReturnToBase2,"[33074, 33282]","[1615735, 1621853]",6118,"[1615735 1616235 1616735 1617235 1617735 1618235 1618735 1619235 1619735
 1620235 1620735 1621235 1621735]",6000,12
48,U554_ses0,9,1,Delay1,"[33301, 33316]","[1623869, 1633885]",10016,"[1623869 1624369 1624869 1625369 1625869 1626369 1626869 1627369 1627869
 1628369 1628869 1629369 1629869 1630369 1630869 1631369 1631869 1632369
 1632869 1633369 1633869]",10000,20
49,U554_ses0,9,2,Encoding,"[33316, 35088]","[1633885, 1663902]",30017,"[1633885 1634385 1634885 1635385 1635885 1636385 1636885 1637385 1637885
 1638385 1638885 1639385 1639885 1640385 1640885 1641385 1641885 1642385
 1642885 1643385 1643885 1644385 1644885 1645385 1645885 1646385 1646885
 1647385 1647885 1648385 1648885 1649385 1649885 1650385 1650885 1651385
 1651885 1652385 1652885 1653385 1653885 1654385 1654885 1655385 1655885
 1656385 1656885 1657385 1657885 1658385 1658885 1659385 1659885 1660385
 1660885 1661385 1661885 1662385 1662885 1663385 1663885]",30000,60
50,U554_ses0,9,3,ReturnToBase1,"[35088, 35089]","[1663902, 1663902]",0,[],0,0
51,U554_ses0,9,4,Delay2,"[35258, 35273]","[1687968, 1697985]",10017,"[1687968 1688468 1688968 1689468 1689968 1690468 1690968 1691468 1691968
 1692468 1692968 1693468 1693968 1694468 1694968 1695468 1695968 1696468
 1696968 1697468 1697968]",10000,20
52,U554_ses0,9,5,Retrieval,"[35273, 36483]","[1697985, 1728001]",30016,"[1697985 1698485 1698985 1699485 1699985 1700485 1700985 1701485 1701985
 1702485 1702985 1703485 1703985 1704485 1704985 1705485 1705985 1706485
 1706985 1707485 1707985 1708485 1708985 1709485 1709985 1710485 1710985
 1711485 1711985 1712485 1712985 1713485 1713985 1714485 1714985 1715485
 1715985 1716485 1716985 1717485 1717985 1718485 1718985 1719485 1719985
 1720485 1720985 1721485 1721985 1722485 1722985 1723485 1723985 1724485
 1724985 1725485 1725985 1726485 1726985 1727485 1727985]",30000,60
53,U554_ses0,9,6,ReturnToBase2,"[36483, 36484]","[1728001, 1728001]",0,[],0,0
54,U554_ses0,10,1,Delay1,"[36498, 36515]","[1730002, 1740017]",10015,"[1730002 1730502 1731002 1731502 1732002 1732502 1733002 1733502 1734002
 1734502 1735002 1735502 1736002 1736502 1737002 1737502 1738002 1738502
 1739002 1739502 1740002]",10000,20
55,U554_ses0,10,2,Encoding,"[36515, 38286]","[1740017, 1770034]",30017,"[1740017 1740517 1741017 1741517 1742017 1742517 1743017 1743517 1744017
 1744517 1745017 1745517 1746017 1746517 1747017 1747517 1748017 1748517
 1749017 1749517 1750017 1750517 1751017 1751517 1752017 1752517 1753017
 1753517 1754017 1754517 1755017 1755517 1756017 1756517 1757017 1757517
 1758017 1758517 1759017 1759517 1760017 1760517 1761017 1761517 1762017
 1762517 1763017 1763517 1764017 1764517 1765017 1765517 1766017 1766517
 1767017 1767517 1768017 1768517 1769017 1769517 1770017]",30000,60
56,U554_ses0,10,3,ReturnToBase1,"[38286, 38287]","[1770034, 1770034]",0,[],0,0
57,U554_ses0,10,4,Delay2,"[38451, 38465]","[1794100, 1804100]",10000,"[1794100 1794600 1795100 1795600 1796100 1796600 1797100 1797600 1798100
 1798600 1799100 1799600 1800100 1800600 1801100 1801600 1802100 1802600
 1803100 1803600 1804100]",10000,20
58,U554_ses0,10,5,Retrieval,"[38465, 39887]","[1804100, 1834115]",30015,"[1804100 1804600 1805100 1805600 1806100 1806600 1807100 1807600 1808100
 1808600 1809100 1809600 1810100 1810600 1811100 1811600 1812100 1812600
 1813100 1813600 1814100 1814600 1815100 1815600 1816100 1816600 1817100
 1817600 1818100 1818600 1819100 1819600 1820100 1820600 1821100 1821600
 1822100 1822600 1823100 1823600 1824100 1824600 1825100 1825600 1826100
 1826600 1827100 1827600 1828100 1828600 1829100 1829600 1830100 1830600
 1831100 1831600 1832100 1832600 1833100 1833600 1834100]",30000,60
59,U554_ses0,10,6,ReturnToBase2,"[39887, 40165]","[1834115, 1841148]",7033,"[1834115 1834615 1835115 1835615 1836115 1836615 1837115 1837615 1838115
 1838615 1839115 1839615 1840115 1840615 1841115]",7000,14
60,U554_ses0,11,1,Delay1,"[40181, 40199]","[1843150, 1853164]",10014,"[1843150 1843650 1844150 1844650 1845150 1845650 1846150 1846650 1847150
 1847650 1848150 1848650 1849150 1849650 1850150 1850650 1851150 1851650
 1852150 1852650 1853150]",10000,20
61,U554_ses0,11,2,Encoding,"[40199, 42138]","[1853164, 1883182]",30018,"[1853164 1853664 1854164 1854664 1855164 1855664 1856164 1856664 1857164
 1857664 1858164 1858664 1859164 1859664 1860164 1860664 1861164 1861664
 1862164 1862664 1863164 1863664 1864164 1864664 1865164 1865664 1866164
 1866664 1867164 1867664 1868164 1868664 1869164 1869664 1870164 1870664
 1871164 1871664 1872164 1872664 1873164 1873664 1874164 1874664 1875164
 1875664 1876164 1876664 1877164 1877664 1878164 1878664 1879164 1879664
 1880164 1880664 1881164 1881664 1882164 1882664 1883164]",30000,60
62,U554_ses0,11,3,ReturnToBase1,"[42138, 42139]","[1883182, 1883182]",0,[],0,0
63,U554_ses0,11,4,Delay2,"[42317, 42332]","[1907231, 1917249]",10018,"[1907231 1907731 1908231 1908731 1909231 1909731 1910231 1910731 1911231
 1911731 1912231 1912731 1913231 1913731 1914231 1914731 1915231 1915731
 1916231 1916731 1917231]",10000,20
64,U554_ses0,11,5,Retrieval,"[42332, 43621]","[1917249, 1947264]",30015,"[1917249 1917749 1918249 1918749 1919249 1919749 1920249 1920749 1921249
 1921749 1922249 1922749 1923249 1923749 1924249 1924749 1925249 1925749
 1926249 1926749 1927249 1927749 1928249 1928749 1929249 1929749 1930249
 1930749 1931249 1931749 1932249 1932749 1933249 1933749 1934249 1934749
 1935249 1935749 1936249 1936749 1937249 1937749 1938249 1938749 1939249
 1939749 1940249 1940749 1941249 1941749 1942249 1942749 1943249 1943749
 1944249 1944749 1945249 1945749 1946249 1946749 1947249]",30000,60
65,U554_ses0,11,6,ReturnToBase2,"[43621, 43622]","[1947264, 1947264]",0,[],0,0
66,U554_ses0,12,1,Delay1,"[43638, 43655]","[1949280, 1959297]",10017,"[1949280 1949780 1950280 1950780 1951280 1951780 1952280 1952780 1953280
 1953780 1954280 1954780 1955280 1955780 1956280 1956780 1957280 1957780
 1958280 1958780 1959280]",10000,20
67,U554_ses0,12,2,Encoding,"[43655, 45433]","[1959297, 1989313]",30016,"[1959297 1959797 1960297 1960797 1961297 1961797 1962297 1962797 1963297
 1963797 1964297 1964797 1965297 1965797 1966297 1966797 1967297 1967797
 1968297 1968797 1969297 1969797 1970297 1970797 1971297 1971797 1972297
 1972797 1973297 1973797 1974297 1974797 1975297 1975797 1976297 1976797
 1977297 1977797 1978297 1978797 1979297 1979797 1980297 1980797 1981297
 1981797 1982297 1982797 1983297 1983797 1984297 1984797 1985297 1985797
 1986297 1986797 1987297 1987797 1988297 1988797 1989297]",30000,60
68,U554_ses0,12,3,ReturnToBase1,"[45433, 45541]","[1989313, 1991064]",1751,[1989313 1989813 1990313 1990813],1500,3
69,U554_ses0,12,4,Delay2,"[45707, 45723]","[2015129, 2025130]",10001,"[2015129 2015629 2016129 2016629 2017129 2017629 2018129 2018629 2019129
 2019629 2020129 2020629 2021129 2021629 2022129 2022629 2023129 2023629
 2024129 2024629 2025129]",10000,20
70,U554_ses0,12,5,Retrieval,"[45723, 47337]","[2025130, 2055145]",30015,"[2025130 2025630 2026130 2026630 2027130 2027630 2028130 2028630 2029130
 2029630 2030130 2030630 2031130 2031630 2032130 2032630 2033130 2033630
 2034130 2034630 2035130 2035630 2036130 2036630 2037130 2037630 2038130
 2038630 2039130 2039630 2040130 2040630 2041130 2041630 2042130 2042630
 2043130 2043630 2044130 2044630 2045130 2045630 2046130 2046630 2047130
 2047630 2048130 2048630 2049130 2049630 2050130 2050630 2051130 2051630
 2052130 2052630 2053130 2053630 2054130 2054630 2055130]",30000,60
71,U554_ses0,12,6,ReturnToBase2,"[47337, 47517]","[2055145, 2059396]",4251,[2055145 2055645 2056145 2056645 2057145 2057645 2058145 2058645 2059145],4000,8
72,U554_ses0,13,1,Delay1,"[47534, 47550]","[2070046, 2080046]",10000,"[2070046 2070546 2071046 2071546 2072046 2072546 2073046 2073546 2074046
 2074546 2075046 2075546 2076046 2076546 2077046 2077546 2078046 2078546
 2079046 2079546 2080046]",10000,20
73,U554_ses0,13,2,Encoding,"[47550, 49322]","[2080046, 2110062]",30016,"[2080046 2080546 2081046 2081546 2082046 2082546 2083046 2083546 2084046
 2084546 2085046 2085546 2086046 2086546 2087046 2087546 2088046 2088546
 2089046 2089546 2090046 2090546 2091046 2091546 2092046 2092546 2093046
 2093546 2094046 2094546 2095046 2095546 2096046 2096546 2097046 2097546
 2098046 2098546 2099046 2099546 2100046 2100546 2101046 2101546 2102046
 2102546 2103046 2103546 2104046 2104546 2105046 2105546 2106046 2106546
 2107046 2107546 2108046 2108546 2109046 2109546 2110046]",30000,60
74,U554_ses0,13,3,ReturnToBase1,"[49322, 49323]","[2110062, 2110062]",0,[],0,0
75,U554_ses0,13,4,Delay2,"[49492, 49507]","[2134128, 2144128]",10000,"[2134128 2134628 2135128 2135628 2136128 2136628 2137128 2137628 2138128
 2138628 2139128 2139628 2140128 2140628 2141128 2141628 2142128 2142628
 2143128 2143628 2144128]",10000,20
76,U554_ses0,13,5,Retrieval,"[49507, 51136]","[2144128, 2174145]",30017,"[2144128 2144628 2145128 2145628 2146128 2146628 2147128 2147628 2148128
 2148628 2149128 2149628 2150128 2150628 2151128 2151628 2152128 2152628
 2153128 2153628 2154128 2154628 2155128 2155628 2156128 2156628 2157128
 2157628 2158128 2158628 2159128 2159628 2160128 2160628 2161128 2161628
 2162128 2162628 2163128 2163628 2164128 2164628 2165128 2165628 2166128
 2166628 2167128 2167628 2168128 2168628 2169128 2169628 2170128 2170628
 2171128 2171628 2172128 2172628 2173128 2173628 2174128]",30000,60
77,U554_ses0,13,6,ReturnToBase2,"[51136, 51186]","[2174145, 2175395]",1250,[2174145 2174645 2175145],1000,2
78,U554_ses0,14,1,Delay1,"[51206, 51221]","[2177411, 2187428]",10017,"[2177411 2177911 2178411 2178911 2179411 2179911 2180411 2180911 2181411
 2181911 2182411 2182911 2183411 2183911 2184411 2184911 2185411 2185911
 2186411 2186911 2187411]",10000,20
79,U554_ses0,14,2,Encoding,"[51221, 52966]","[2187428, 2217444]",30016,"[2187428 2187928 2188428 2188928 2189428 2189928 2190428 2190928 2191428
 2191928 2192428 2192928 2193428 2193928 2194428 2194928 2195428 2195928
 2196428 2196928 2197428 2197928 2198428 2198928 2199428 2199928 2200428
 2200928 2201428 2201928 2202428 2202928 2203428 2203928 2204428 2204928
 2205428 2205928 2206428 2206928 2207428 2207928 2208428 2208928 2209428
 2209928 2210428 2210928 2211428 2211928 2212428 2212928 2213428 2213928
 2214428 2214928 2215428 2215928 2216428 2216928 2217428]",30000,60
80,U554_ses0,14,3,ReturnToBase1,"[52966, 53366]","[2217444, 2224244]",6800,"[2217444 2217944 2218444 2218944 2219444 2219944 2220444 2220944 2221444
 2221944 2222444 2222944 2223444 2223944]",6500,13
81,U554_ses0,14,4,Delay2,"[53532, 53549]","[2248293, 2258293]",10000,"[2248293 2248793 2249293 2249793 2250293 2250793 2251293 2251793 2252293
 2252793 2253293 2253793 2254293 2254793 2255293 2255793 2256293 2256793
 2257293 2257793 2258293]",10000,20
82,U554_ses0,14,5,Retrieval,"[53549, 54949]","[2258293, 2288309]",30016,"[2258293 2258793 2259293 2259793 2260293 2260793 2261293 2261793 2262293
 2262793 2263293 2263793 2264293 2264793 2265293 2265793 2266293 2266793
 2267293 2267793 2268293 2268793 2269293 2269793 2270293 2270793 2271293
 2271793 2272293 2272793 2273293 2273793 2274293 2274793 2275293 2275793
 2276293 2276793 2277293 2277793 2278293 2278793 2279293 2279793 2280293
 2280793 2281293 2281793 2282293 2282793 2283293 2283793 2284293 2284793
 2285293 2285793 2286293 2286793 2287293 2287793 2288293]",30000,60
