,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
25,U554,ses0,1,0,Encoding,721599,722099,5,1,Base,E,1,1,0.0,,,,,,
26,U554,ses0,1,0,Encoding,722099,722599,6,2,Base,E,1,1,0.0,,,,,,
27,U554,ses0,1,0,Encoding,722599,723099,7,2,SE Hall,E,1,0,0.0,,,,,,
28,U554,ses0,1,0,Encoding,723099,723599,8,2,SE Hall,NE,1,0,0.0,,,,,,
29,U554,ses0,1,0,Encoding,723599,724099,9,2,SE Hall,NE,1,0,0.0,,,,,,
30,U554,ses0,1,0,Encoding,724099,724599,10,2,SE Hall,N,1,0,1.0,['rubyHeart0002'],,,,,
31,U554,ses0,1,0,Encoding,724599,725099,11,2,SE Hall,N,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
32,U554,ses0,1,0,Encoding,725099,725599,12,3,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
33,U554,ses0,1,0,Encoding,725599,726099,13,3,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
34,U554,ses0,1,0,Encoding,726099,726599,14,3,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
35,U554,ses0,1,0,Encoding,726599,727099,15,3,SE Room,W,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
36,U554,ses0,1,0,Encoding,727099,727599,16,3,SE Room,W,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
37,U554,ses0,1,0,Encoding,727599,728099,17,3,SE Room,W,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
38,U554,ses0,1,0,Encoding,728099,728599,18,4,SE Room,W,0,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
39,U554,ses0,1,0,Encoding,728599,729099,19,4,SE Room,W,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
40,U554,ses0,1,0,Encoding,729099,729599,20,4,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
41,U554,ses0,1,0,Encoding,729599,730099,21,4,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",,,,,
42,U554,ses0,1,0,Encoding,730099,730599,22,4,SE Room,NW,1,0,1.0,['rubyHeart0002'],,,,,
43,U554,ses0,1,0,Encoding,730599,731099,23,4,SE Room,NW,1,0,1.0,['rubyHeart0002'],,,,,
