,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
0,U540,ses0,1,0,Delay1,745471,745971,0,1,Base,N,0,1,,,,,,,
1,U540,ses0,1,0,Delay1,745971,746471,1,1,Base,N,0,1,,,,,,,
2,U540,ses0,1,0,Delay1,746471,746971,2,2,Base,N,0,1,,,,,,,
3,U540,ses0,1,0,Delay1,746971,747471,3,2,Base,N,0,1,,,,,,,
4,U540,ses0,1,0,Delay1,747471,747971,4,3,Base,N,0,1,,,,,,,
5,U540,ses0,1,0,Delay1,747971,748471,5,3,Base,N,0,1,,,,,,,
6,U540,ses0,1,0,Delay1,748471,748971,6,4,Base,N,0,1,,,,,,,
7,U540,ses0,1,0,Delay1,748971,749471,7,4,Base,N,0,1,,,,,,,
8,U540,ses0,1,0,Delay1,749471,749971,8,5,Base,N,0,1,,,,,,,
9,U540,ses0,1,0,Delay1,749971,750471,9,5,Base,N,0,1,,,,,,,
10,U540,ses0,1,0,Delay1,750471,750971,10,6,Base,N,0,1,,,,,,,
11,U540,ses0,1,0,Delay1,750971,751471,11,6,Base,N,0,1,,,,,,,
12,U540,ses0,1,0,Delay1,751471,751971,12,7,Base,N,0,1,,,,,,,
13,U540,ses0,1,0,Delay1,751971,752471,13,7,Base,N,0,1,,,,,,,
14,U540,ses0,1,0,Delay1,752471,752971,14,8,Base,N,0,1,,,,,,,
15,U540,ses0,1,0,Delay1,752971,753471,15,8,Base,N,0,1,,,,,,,
16,U540,ses0,1,0,Delay1,753471,753971,16,9,Base,N,0,1,,,,,,,
17,U540,ses0,1,0,Delay1,753971,754471,17,9,Base,N,0,1,,,,,,,
18,U540,ses0,1,0,Delay1,754471,754971,18,10,Base,N,0,1,,,,,,,
19,U540,ses0,1,0,Delay1,754971,755471,19,10,Base,N,0,1,,,,,,,
20,U540,ses0,1,0,Encoding,755487,755987,0,1,Base,N,1,1,0.0,,,,,,
21,U540,ses0,1,0,Encoding,755987,756487,1,1,Base,N,1,1,0.0,,,,,,
22,U540,ses0,1,0,Encoding,756487,756987,2,1,Base,N,1,1,0.0,,,,,,
23,U540,ses0,1,0,Encoding,756987,757487,3,1,Base,N,1,1,0.0,,,,,,
24,U540,ses0,1,0,Encoding,757487,757987,4,1,Base,N,1,1,0.0,,,,,,
25,U540,ses0,1,0,Encoding,757987,758487,5,1,S Passage,N,1,0,0.0,,,,,,
26,U540,ses0,1,0,Encoding,758487,758987,6,2,S Passage,N,1,0,0.0,,,,,,
27,U540,ses0,1,0,Encoding,758987,759487,7,2,S Passage,N,1,0,0.0,,,,,,
28,U540,ses0,1,0,Encoding,759487,759987,8,2,S Passage,N,1,0,0.0,,,,,,
29,U540,ses0,1,0,Encoding,759987,760487,9,2,C Hall,NW,1,0,0.0,,,,,,
30,U540,ses0,1,0,Encoding,760487,760987,10,2,N Passage,N,1,0,0.0,,,,,,
31,U540,ses0,1,0,Encoding,760987,761487,11,2,N Passage,N,1,0,0.0,,,,,,
32,U540,ses0,1,0,Encoding,761487,761987,12,3,N Passage,N,1,0,0.0,,,,,,
33,U540,ses0,1,0,Encoding,761987,762487,13,3,N Passage,N,1,0,0.0,,,,,,
34,U540,ses0,1,0,Encoding,762487,762987,14,3,N Passage,N,1,0,0.0,,,,,,
35,U540,ses0,1,0,Encoding,762987,763487,15,3,N Passage,N,1,0,0.0,,,,,,
36,U540,ses0,1,0,Encoding,763487,763987,16,3,N Passage,N,1,0,0.0,,,,,,
37,U540,ses0,1,0,Encoding,763987,764487,17,3,N Passage,N,1,0,0.0,,,,,,
38,U540,ses0,1,0,Encoding,764487,764987,18,4,N Passage,NW,1,0,0.0,,,,,,
39,U540,ses0,1,0,Encoding,764987,765487,19,4,NW Hall,NW,1,0,0.0,,,,,,
40,U540,ses0,1,0,Encoding,765487,765987,20,4,NW Hall,W,1,0,0.0,,,,,,
41,U540,ses0,1,0,Encoding,765987,766487,21,4,NW Hall,W,1,0,0.0,,,,,,
42,U540,ses0,1,0,Encoding,766487,766987,22,4,NW Hall,W,1,0,0.0,,,,,,
43,U540,ses0,1,0,Encoding,766987,767487,23,4,NW Hall,W,1,0,0.0,,,,,,
44,U540,ses0,1,0,Encoding,767487,767987,24,5,NW Hall,W,1,0,0.0,,,,,,
45,U540,ses0,1,0,Encoding,767987,768487,25,5,NW Hall,W,1,0,0.0,,,,,,
46,U540,ses0,1,0,Encoding,768487,768987,26,5,NW Hall,SW,1,0,0.0,,,,,,
47,U540,ses0,1,0,Encoding,768987,769487,27,5,NW Hall,SW,1,0,0.0,,,,,,
48,U540,ses0,1,0,Encoding,769487,769987,28,5,NW Hall,S,1,0,0.0,,,,,,
49,U540,ses0,1,0,Encoding,769987,770487,29,5,NW Hall,S,1,0,0.0,,,,,,
50,U540,ses0,1,0,Encoding,770487,770987,30,6,NW Room,SE,1,0,0.0,,,,,,
51,U540,ses0,1,0,Encoding,770987,771487,31,6,NW Room,SE,1,0,0.0,,,,,,
52,U540,ses0,1,0,Encoding,771487,771987,32,6,NW Room,SE,1,0,0.0,,,,,,
53,U540,ses0,1,0,Encoding,771987,772487,33,6,NW Room,SE,1,0,0.0,,,,,,
54,U540,ses0,1,0,Encoding,772487,772987,34,6,NW Room,SE,1,0,0.0,,,,,,
55,U540,ses0,1,0,Encoding,772987,773487,35,6,NW Room,SE,1,0,0.0,,,,,,
56,U540,ses0,1,0,Encoding,773487,773987,36,7,C Hall,SE,1,0,0.0,,,,,,
57,U540,ses0,1,0,Encoding,773987,774487,37,7,C Hall,S,1,0,0.0,,,,,,
58,U540,ses0,1,0,Encoding,774487,774987,38,7,C Hall,S,1,0,0.0,,,,,,
59,U540,ses0,1,0,Encoding,774987,775487,39,7,C Hall,S,1,0,0.0,,,,,,
60,U540,ses0,1,0,Encoding,775487,775987,40,7,SW Room,S,1,0,0.0,,,,,,
61,U540,ses0,1,0,Encoding,775987,776487,41,7,SW Room,SE,1,0,0.0,,,,,,
62,U540,ses0,1,0,Encoding,776487,776987,42,8,SW Room,S,1,0,0.0,,,,,,
63,U540,ses0,1,0,Encoding,776987,777487,43,8,SW Room,S,1,0,0.0,,,,,,
64,U540,ses0,1,0,Encoding,777487,777987,44,8,SW Room,S,1,0,0.0,,,,,,
65,U540,ses0,1,0,Encoding,777987,778487,45,8,SW Room,S,1,0,0.0,,,,,,
66,U540,ses0,1,0,Encoding,778487,778987,46,8,SW Room,SW,1,0,0.0,,,,,,
67,U540,ses0,1,0,Encoding,778987,779487,47,8,SW Room,SW,1,0,0.0,,,,,,
68,U540,ses0,1,0,Encoding,779487,779987,48,9,SW Room,W,1,0,0.0,,,,,,
69,U540,ses0,1,0,Encoding,779987,780487,49,9,SW Room,W,1,0,0.0,,,,,,
70,U540,ses0,1,0,Encoding,780487,780987,50,9,SW Room,NW,1,0,0.0,,,,,,
71,U540,ses0,1,0,Encoding,780987,781487,51,9,SW Room,NW,1,0,0.0,,,,,,
72,U540,ses0,1,0,Encoding,781487,781987,52,9,SW Room,N,1,0,0.0,,,,,,
73,U540,ses0,1,0,Encoding,781987,782487,53,9,SW Room,NW,1,0,0.0,,,,,,
