,subj_sess,trial,trial_phase,gameState,index,time,duration,time_bins,time_bin_dur,n_time_bins
0,U540_ses0,1,1,Delay1,"[12, 27]","[745471, 755487]",10016,"[745471 745971 746471 746971 747471 747971 748471 748971 749471 749971
 750471 750971 751471 751971 752471 752971 753471 753971 754471 754971
 755471]",10000,20
1,U540_ses0,1,2,Encoding,"[27, 929]","[755487, 785504]",30017,"[755487 755987 756487 756987 757487 757987 758487 758987 759487 759987
 760487 760987 761487 761987 762487 762987 763487 763987 764487 764987
 765487 765987 766487 766987 767487 767987 768487 768987 769487 769987
 770487 770987 771487 771987 772487 772987 773487 773987 774487 774987
 775487 775987 776487 776987 777487 777987 778487 778987 779487 779987
 780487 780987 781487 781987 782487 782987 783487 783987 784487 784987
 785487]",30000,60
2,U540_ses0,1,3,ReturnToBase1,"[929, 1142]","[785504, 792504]",7000,"[785504 786004 786504 787004 787504 788004 788504 789004 789504 790004
 790504 791004 791504 792004]",6500,13
3,U540_ses0,1,4,Delay2,"[1155, 1169]","[794520, 804537]",10017,"[794520 795020 795520 796020 796520 797020 797520 798020 798520 799020
 799520 800020 800520 801020 801520 802020 802520 803020 803520 804020
 804520]",10000,20
4,U540_ses0,1,5,Retrieval,"[1169, 2063]","[804537, 834553]",30016,"[804537 805037 805537 806037 806537 807037 807537 808037 808537 809037
 809537 810037 810537 811037 811537 812037 812537 813037 813537 814037
 814537 815037 815537 816037 816537 817037 817537 818037 818537 819037
 819537 820037 820537 821037 821537 822037 822537 823037 823537 824037
 824537 825037 825537 826037 826537 827037 827537 828037 828537 829037
 829537 830037 830537 831037 831537 832037 832537 833037 833537 834037
 834537]",30000,60
5,U540_ses0,1,6,ReturnToBase2,"[2063, 2445]","[834553, 847353]",12800,"[834553 835053 835553 836053 836553 837053 837553 838053 838553 839053
 839553 840053 840553 841053 841553 842053 842553 843053 843553 844053
 844553 845053 845553 846053 846553 847053]",12500,25
6,U540_ses0,2,1,Delay1,"[2462, 2476]","[849386, 859403]",10017,"[849386 849886 850386 850886 851386 851886 852386 852886 853386 853886
 854386 854886 855386 855886 856386 856886 857386 857886 858386 858886
 859386]",10000,20
7,U540_ses0,2,2,Encoding,"[2476, 3377]","[859403, 889419]",30016,"[859403 859903 860403 860903 861403 861903 862403 862903 863403 863903
 864403 864903 865403 865903 866403 866903 867403 867903 868403 868903
 869403 869903 870403 870903 871403 871903 872403 872903 873403 873903
 874403 874903 875403 875903 876403 876903 877403 877903 878403 878903
 879403 879903 880403 880903 881403 881903 882403 882903 883403 883903
 884403 884903 885403 885903 886403 886903 887403 887903 888403 888903
 889403]",30000,60
8,U540_ses0,2,3,ReturnToBase1,"[3377, 3547]","[889419, 895037]",5618,"[889419 889919 890419 890919 891419 891919 892419 892919 893419 893919
 894419 894919]",5500,11
9,U540_ses0,2,4,Delay2,"[3560, 3576]","[897052, 907069]",10017,"[897052 897552 898052 898552 899052 899552 900052 900552 901052 901552
 902052 902552 903052 903552 904052 904552 905052 905552 906052 906552
 907052]",10000,20
