,subj_sess,trial,trial_phase,gameState,index,time,duration,time_bins,time_bin_dur,n_time_bins
10,U540_ses0,2,5,Retrieval,"[3576, 4475]","[907069, 937084]",30015,"[907069 907569 908069 908569 909069 909569 910069 910569 911069 911569
 912069 912569 913069 913569 914069 914569 915069 915569 916069 916569
 917069 917569 918069 918569 919069 919569 920069 920569 921069 921569
 922069 922569 923069 923569 924069 924569 925069 925569 926069 926569
 927069 927569 928069 928569 929069 929569 930069 930569 931069 931569
 932069 932569 933069 933569 934069 934569 935069 935569 936069 936569
 937069]",30000,60
11,U540_ses0,2,6,ReturnToBase2,"[4475, 4947]","[937084, 952884]",15800,"[937084 937584 938084 938584 939084 939584 940084 940584 941084 941584
 942084 942584 943084 943584 944084 944584 945084 945584 946084 946584
 947084 947584 948084 948584 949084 949584 950084 950584 951084 951584
 952084 952584]",15500,31
12,U540_ses0,3,1,Delay1,"[4962, 4979]","[954885, 964901]",10016,"[954885 955385 955885 956385 956885 957385 957885 958385 958885 959385
 959885 960385 960885 961385 961885 962385 962885 963385 963885 964385
 964885]",10000,20
13,U540_ses0,3,2,Encoding,"[4979, 5867]","[964901, 994917]",30016,"[964901 965401 965901 966401 966901 967401 967901 968401 968901 969401
 969901 970401 970901 971401 971901 972401 972901 973401 973901 974401
 974901 975401 975901 976401 976901 977401 977901 978401 978901 979401
 979901 980401 980901 981401 981901 982401 982901 983401 983901 984401
 984901 985401 985901 986401 986901 987401 987901 988401 988901 989401
 989901 990401 990901 991401 991901 992401 992901 993401 993901 994401
 994901]",30000,60
14,U540_ses0,3,3,ReturnToBase1,"[5867, 5868]","[994917, 994917]",0,[],0,0
15,U540_ses0,3,4,Delay2,"[5878, 5896]","[996917, 1006935]",10018,"[ 996917  997417  997917  998417  998917  999417  999917 1000417 1000917
 1001417 1001917 1002417 1002917 1003417 1003917 1004417 1004917 1005417
 1005917 1006417 1006917]",10000,20
16,U540_ses0,3,5,Retrieval,"[5896, 6691]","[1006935, 1036949]",30014,"[1006935 1007435 1007935 1008435 1008935 1009435 1009935 1010435 1010935
 1011435 1011935 1012435 1012935 1013435 1013935 1014435 1014935 1015435
 1015935 1016435 1016935 1017435 1017935 1018435 1018935 1019435 1019935
 1020435 1020935 1021435 1021935 1022435 1022935 1023435 1023935 1024435
 1024935 1025435 1025935 1026435 1026935 1027435 1027935 1028435 1028935
 1029435 1029935 1030435 1030935 1031435 1031935 1032435 1032935 1033435
 1033935 1034435 1034935 1035435 1035935 1036435 1036935]",30000,60
17,U540_ses0,3,6,ReturnToBase2,"[6691, 6692]","[1036949, 1036949]",0,[],0,0
18,U540_ses0,4,1,Delay1,"[6706, 6723]","[1038950, 1048965]",10015,"[1038950 1039450 1039950 1040450 1040950 1041450 1041950 1042450 1042950
 1043450 1043950 1044450 1044950 1045450 1045950 1046450 1046950 1047450
 1047950 1048450 1048950]",10000,20
19,U540_ses0,4,2,Encoding,"[6723, 7630]","[1048965, 1078983]",30018,"[1048965 1049465 1049965 1050465 1050965 1051465 1051965 1052465 1052965
 1053465 1053965 1054465 1054965 1055465 1055965 1056465 1056965 1057465
 1057965 1058465 1058965 1059465 1059965 1060465 1060965 1061465 1061965
 1062465 1062965 1063465 1063965 1064465 1064965 1065465 1065965 1066465
 1066965 1067465 1067965 1068465 1068965 1069465 1069965 1070465 1070965
 1071465 1071965 1072465 1072965 1073465 1073965 1074465 1074965 1075465
 1075965 1076465 1076965 1077465 1077965 1078465 1078965]",30000,60
20,U540_ses0,4,3,ReturnToBase1,"[7630, 7631]","[1078983, 1078983]",0,[],0,0
21,U540_ses0,4,4,Delay2,"[7643, 7658]","[1081000, 1091015]",10015,"[1081000 1081500 1082000 1082500 1083000 1083500 1084000 1084500 1085000
 1085500 1086000 1086500 1087000 1087500 1088000 1088500 1089000 1089500
 1090000 1090500 1091000]",10000,20
22,U540_ses0,4,5,Retrieval,"[7658, 8490]","[1091015, 1121031]",30016,"[1091015 1091515 1092015 1092515 1093015 1093515 1094015 1094515 1095015
 1095515 1096015 1096515 1097015 1097515 1098015 1098515 1099015 1099515
 1100015 1100515 1101015 1101515 1102015 1102515 1103015 1103515 1104015
 1104515 1105015 1105515 1106015 1106515 1107015 1107515 1108015 1108515
 1109015 1109515 1110015 1110515 1111015 1111515 1112015 1112515 1113015
 1113515 1114015 1114515 1115015 1115515 1116015 1116515 1117015 1117515
 1118015 1118515 1119015 1119515 1120015 1120515 1121015]",30000,60
23,U540_ses0,4,6,ReturnToBase2,"[8490, 8491]","[1121031, 1121031]",0,[],0,0
24,U540_ses0,5,1,Delay1,"[8507, 8522]","[1123049, 1133065]",10016,"[1123049 1123549 1124049 1124549 1125049 1125549 1126049 1126549 1127049
 1127549 1128049 1128549 1129049 1129549 1130049 1130549 1131049 1131549
 1132049 1132549 1133049]",10000,20
25,U540_ses0,5,2,Encoding,"[8522, 9544]","[1133065, 1163080]",30015,"[1133065 1133565 1134065 1134565 1135065 1135565 1136065 1136565 1137065
 1137565 1138065 1138565 1139065 1139565 1140065 1140565 1141065 1141565
 1142065 1142565 1143065 1143565 1144065 1144565 1145065 1145565 1146065
 1146565 1147065 1147565 1148065 1148565 1149065 1149565 1150065 1150565
 1151065 1151565 1152065 1152565 1153065 1153565 1154065 1154565 1155065
 1155565 1156065 1156565 1157065 1157565 1158065 1158565 1159065 1159565
 1160065 1160565 1161065 1161565 1162065 1162565 1163065]",30000,60
26,U540_ses0,5,3,ReturnToBase1,"[9544, 9813]","[1163080, 1170913]",7833,"[1163080 1163580 1164080 1164580 1165080 1165580 1166080 1166580 1167080
 1167580 1168080 1168580 1169080 1169580 1170080 1170580]",7500,15
27,U540_ses0,5,4,Delay2,"[9825, 9840]","[1172930, 1182931]",10001,"[1172930 1173430 1173930 1174430 1174930 1175430 1175930 1176430 1176930
 1177430 1177930 1178430 1178930 1179430 1179930 1180430 1180930 1181430
 1181930 1182430 1182930]",10000,20
28,U540_ses0,5,5,Retrieval,"[9840, 10861]","[1182931, 1212946]",30015,"[1182931 1183431 1183931 1184431 1184931 1185431 1185931 1186431 1186931
 1187431 1187931 1188431 1188931 1189431 1189931 1190431 1190931 1191431
 1191931 1192431 1192931 1193431 1193931 1194431 1194931 1195431 1195931
 1196431 1196931 1197431 1197931 1198431 1198931 1199431 1199931 1200431
 1200931 1201431 1201931 1202431 1202931 1203431 1203931 1204431 1204931
 1205431 1205931 1206431 1206931 1207431 1207931 1208431 1208931 1209431
 1209931 1210431 1210931 1211431 1211931 1212431 1212931]",30000,60
29,U540_ses0,5,6,ReturnToBase2,"[10861, 10897]","[1212946, 1213846]",900,[1212946 1213446],500,1
30,U540_ses0,6,1,Delay1,"[10915, 10930]","[1215848, 1225863]",10015,"[1215848 1216348 1216848 1217348 1217848 1218348 1218848 1219348 1219848
 1220348 1220848 1221348 1221848 1222348 1222848 1223348 1223848 1224348
 1224848 1225348 1225848]",10000,20
31,U540_ses0,6,2,Encoding,"[10930, 11952]","[1225863, 1255880]",30017,"[1225863 1226363 1226863 1227363 1227863 1228363 1228863 1229363 1229863
 1230363 1230863 1231363 1231863 1232363 1232863 1233363 1233863 1234363
 1234863 1235363 1235863 1236363 1236863 1237363 1237863 1238363 1238863
 1239363 1239863 1240363 1240863 1241363 1241863 1242363 1242863 1243363
 1243863 1244363 1244863 1245363 1245863 1246363 1246863 1247363 1247863
 1248363 1248863 1249363 1249863 1250363 1250863 1251363 1251863 1252363
 1252863 1253363 1253863 1254363 1254863 1255363 1255863]",30000,60
32,U540_ses0,6,3,ReturnToBase1,"[11952, 11958]","[1255880, 1255979]",99,[1255880],0,0
33,U540_ses0,6,4,Delay2,"[11971, 11988]","[1257979, 1267980]",10001,"[1257979 1258479 1258979 1259479 1259979 1260479 1260979 1261479 1261979
 1262479 1262979 1263479 1263979 1264479 1264979 1265479 1265979 1266479
 1266979 1267479 1267979]",10000,20
34,U540_ses0,6,5,Retrieval,"[11988, 12998]","[1267980, 1297996]",30016,"[1267980 1268480 1268980 1269480 1269980 1270480 1270980 1271480 1271980
 1272480 1272980 1273480 1273980 1274480 1274980 1275480 1275980 1276480
 1276980 1277480 1277980 1278480 1278980 1279480 1279980 1280480 1280980
 1281480 1281980 1282480 1282980 1283480 1283980 1284480 1284980 1285480
 1285980 1286480 1286980 1287480 1287980 1288480 1288980 1289480 1289980
 1290480 1290980 1291480 1291980 1292480 1292980 1293480 1293980 1294480
 1294980 1295480 1295980 1296480 1296980 1297480 1297980]",30000,60
35,U540_ses0,6,6,ReturnToBase2,"[12998, 13102]","[1297996, 1300996]",3000,[1297996 1298496 1298996 1299496 1299996 1300496],2500,5
36,U540_ses0,7,1,Delay1,"[13119, 13134]","[1303012, 1313029]",10017,"[1303012 1303512 1304012 1304512 1305012 1305512 1306012 1306512 1307012
 1307512 1308012 1308512 1309012 1309512 1310012 1310512 1311012 1311512
 1312012 1312512 1313012]",10000,20
37,U540_ses0,7,2,Encoding,"[13134, 14038]","[1313029, 1343044]",30015,"[1313029 1313529 1314029 1314529 1315029 1315529 1316029 1316529 1317029
 1317529 1318029 1318529 1319029 1319529 1320029 1320529 1321029 1321529
 1322029 1322529 1323029 1323529 1324029 1324529 1325029 1325529 1326029
 1326529 1327029 1327529 1328029 1328529 1329029 1329529 1330029 1330529
 1331029 1331529 1332029 1332529 1333029 1333529 1334029 1334529 1335029
 1335529 1336029 1336529 1337029 1337529 1338029 1338529 1339029 1339529
 1340029 1340529 1341029 1341529 1342029 1342529 1343029]",30000,60
38,U540_ses0,7,3,ReturnToBase1,"[14038, 14419]","[1343044, 1355694]",12650,"[1343044 1343544 1344044 1344544 1345044 1345544 1346044 1346544 1347044
 1347544 1348044 1348544 1349044 1349544 1350044 1350544 1351044 1351544
 1352044 1352544 1353044 1353544 1354044 1354544 1355044 1355544]",12500,25
39,U540_ses0,7,4,Delay2,"[14430, 14447]","[1357695, 1367710]",10015,"[1357695 1358195 1358695 1359195 1359695 1360195 1360695 1361195 1361695
 1362195 1362695 1363195 1363695 1364195 1364695 1365195 1365695 1366195
 1366695 1367195 1367695]",10000,20
40,U540_ses0,7,5,Retrieval,"[14447, 15261]","[1367710, 1397728]",30018,"[1367710 1368210 1368710 1369210 1369710 1370210 1370710 1371210 1371710
 1372210 1372710 1373210 1373710 1374210 1374710 1375210 1375710 1376210
 1376710 1377210 1377710 1378210 1378710 1379210 1379710 1380210 1380710
 1381210 1381710 1382210 1382710 1383210 1383710 1384210 1384710 1385210
 1385710 1386210 1386710 1387210 1387710 1388210 1388710 1389210 1389710
 1390210 1390710 1391210 1391710 1392210 1392710 1393210 1393710 1394210
 1394710 1395210 1395710 1396210 1396710 1397210 1397710]",30000,60
41,U540_ses0,7,6,ReturnToBase2,"[15261, 15262]","[1397728, 1397728]",0,[],0,0
42,U540_ses0,8,1,Delay1,"[15278, 15293]","[1399743, 1409760]",10017,"[1399743 1400243 1400743 1401243 1401743 1402243 1402743 1403243 1403743
 1404243 1404743 1405243 1405743 1406243 1406743 1407243 1407743 1408243
 1408743 1409243 1409743]",10000,20
43,U540_ses0,8,2,Encoding,"[15293, 16189]","[1409760, 1439777]",30017,"[1409760 1410260 1410760 1411260 1411760 1412260 1412760 1413260 1413760
 1414260 1414760 1415260 1415760 1416260 1416760 1417260 1417760 1418260
 1418760 1419260 1419760 1420260 1420760 1421260 1421760 1422260 1422760
 1423260 1423760 1424260 1424760 1425260 1425760 1426260 1426760 1427260
 1427760 1428260 1428760 1429260 1429760 1430260 1430760 1431260 1431760
 1432260 1432760 1433260 1433760 1434260 1434760 1435260 1435760 1436260
 1436760 1437260 1437760 1438260 1438760 1439260 1439760]",30000,60
44,U540_ses0,8,3,ReturnToBase1,"[16189, 16190]","[1439777, 1439777]",0,[],0,0
45,U540_ses0,8,4,Delay2,"[16202, 16217]","[1441794, 1451810]",10016,"[1441794 1442294 1442794 1443294 1443794 1444294 1444794 1445294 1445794
 1446294 1446794 1447294 1447794 1448294 1448794 1449294 1449794 1450294
 1450794 1451294 1451794]",10000,20
46,U540_ses0,8,5,Retrieval,"[16217, 17038]","[1451810, 1481826]",30016,"[1451810 1452310 1452810 1453310 1453810 1454310 1454810 1455310 1455810
 1456310 1456810 1457310 1457810 1458310 1458810 1459310 1459810 1460310
 1460810 1461310 1461810 1462310 1462810 1463310 1463810 1464310 1464810
 1465310 1465810 1466310 1466810 1467310 1467810 1468310 1468810 1469310
 1469810 1470310 1470810 1471310 1471810 1472310 1472810 1473310 1473810
 1474310 1474810 1475310 1475810 1476310 1476810 1477310 1477810 1478310
 1478810 1479310 1479810 1480310 1480810 1481310 1481810]",30000,60
47,U540_ses0,8,6,ReturnToBase2,"[17038, 17039]","[1481826, 1481826]",0,[],0,0
48,U540_ses0,9,1,Delay1,"[17052, 17069]","[1483827, 1493841]",10014,"[1483827 1484327 1484827 1485327 1485827 1486327 1486827 1487327 1487827
 1488327 1488827 1489327 1489827 1490327 1490827 1491327 1491827 1492327
 1492827 1493327 1493827]",10000,20
49,U540_ses0,9,2,Encoding,"[17069, 18095]","[1493841, 1523858]",30017,"[1493841 1494341 1494841 1495341 1495841 1496341 1496841 1497341 1497841
 1498341 1498841 1499341 1499841 1500341 1500841 1501341 1501841 1502341
 1502841 1503341 1503841 1504341 1504841 1505341 1505841 1506341 1506841
 1507341 1507841 1508341 1508841 1509341 1509841 1510341 1510841 1511341
 1511841 1512341 1512841 1513341 1513841 1514341 1514841 1515341 1515841
 1516341 1516841 1517341 1517841 1518341 1518841 1519341 1519841 1520341
 1520841 1521341 1521841 1522341 1522841 1523341 1523841]",30000,60
50,U540_ses0,9,3,ReturnToBase1,"[18095, 18433]","[1523858, 1533759]",9901,"[1523858 1524358 1524858 1525358 1525858 1526358 1526858 1527358 1527858
 1528358 1528858 1529358 1529858 1530358 1530858 1531358 1531858 1532358
 1532858 1533358]",9500,19
51,U540_ses0,9,4,Delay2,"[18444, 18461]","[1535759, 1545775]",10016,"[1535759 1536259 1536759 1537259 1537759 1538259 1538759 1539259 1539759
 1540259 1540759 1541259 1541759 1542259 1542759 1543259 1543759 1544259
 1544759 1545259 1545759]",10000,20
52,U540_ses0,9,5,Retrieval,"[18461, 19417]","[1545775, 1575791]",30016,"[1545775 1546275 1546775 1547275 1547775 1548275 1548775 1549275 1549775
 1550275 1550775 1551275 1551775 1552275 1552775 1553275 1553775 1554275
 1554775 1555275 1555775 1556275 1556775 1557275 1557775 1558275 1558775
 1559275 1559775 1560275 1560775 1561275 1561775 1562275 1562775 1563275
 1563775 1564275 1564775 1565275 1565775 1566275 1566775 1567275 1567775
 1568275 1568775 1569275 1569775 1570275 1570775 1571275 1571775 1572275
 1572775 1573275 1573775 1574275 1574775 1575275 1575775]",30000,60
53,U540_ses0,9,6,ReturnToBase2,"[19417, 19418]","[1575791, 1575791]",0,[],0,0
54,U540_ses0,10,1,Delay1,"[19433, 19448]","[1577807, 1587824]",10017,"[1577807 1578307 1578807 1579307 1579807 1580307 1580807 1581307 1581807
 1582307 1582807 1583307 1583807 1584307 1584807 1585307 1585807 1586307
 1586807 1587307 1587807]",10000,20
55,U540_ses0,10,2,Encoding,"[19448, 20468]","[1587824, 1617840]",30016,"[1587824 1588324 1588824 1589324 1589824 1590324 1590824 1591324 1591824
 1592324 1592824 1593324 1593824 1594324 1594824 1595324 1595824 1596324
 1596824 1597324 1597824 1598324 1598824 1599324 1599824 1600324 1600824
 1601324 1601824 1602324 1602824 1603324 1603824 1604324 1604824 1605324
 1605824 1606324 1606824 1607324 1607824 1608324 1608824 1609324 1609824
 1610324 1610824 1611324 1611824 1612324 1612824 1613324 1613824 1614324
 1614824 1615324 1615824 1616324 1616824 1617324 1617824]",30000,60
56,U540_ses0,10,3,ReturnToBase1,"[20468, 20803]","[1617840, 1627624]",9784,"[1617840 1618340 1618840 1619340 1619840 1620340 1620840 1621340 1621840
 1622340 1622840 1623340 1623840 1624340 1624840 1625340 1625840 1626340
 1626840 1627340]",9500,19
57,U540_ses0,10,4,Delay2,"[20816, 20832]","[1629641, 1639656]",10015,"[1629641 1630141 1630641 1631141 1631641 1632141 1632641 1633141 1633641
 1634141 1634641 1635141 1635641 1636141 1636641 1637141 1637641 1638141
 1638641 1639141 1639641]",10000,20
58,U540_ses0,10,5,Retrieval,"[20832, 21857]","[1639656, 1669672]",30016,"[1639656 1640156 1640656 1641156 1641656 1642156 1642656 1643156 1643656
 1644156 1644656 1645156 1645656 1646156 1646656 1647156 1647656 1648156
 1648656 1649156 1649656 1650156 1650656 1651156 1651656 1652156 1652656
 1653156 1653656 1654156 1654656 1655156 1655656 1656156 1656656 1657156
 1657656 1658156 1658656 1659156 1659656 1660156 1660656 1661156 1661656
 1662156 1662656 1663156 1663656 1664156 1664656 1665156 1665656 1666156
 1666656 1667156 1667656 1668156 1668656 1669156 1669656]",30000,60
59,U540_ses0,10,6,ReturnToBase2,"[21857, 21858]","[1669672, 1669672]",0,[],0,0
60,U540_ses0,11,1,Delay1,"[21872, 21889]","[1671673, 1681689]",10016,"[1671673 1672173 1672673 1673173 1673673 1674173 1674673 1675173 1675673
 1676173 1676673 1677173 1677673 1678173 1678673 1679173 1679673 1680173
 1680673 1681173 1681673]",10000,20
61,U540_ses0,11,2,Encoding,"[21889, 22785]","[1681689, 1711706]",30017,"[1681689 1682189 1682689 1683189 1683689 1684189 1684689 1685189 1685689
 1686189 1686689 1687189 1687689 1688189 1688689 1689189 1689689 1690189
 1690689 1691189 1691689 1692189 1692689 1693189 1693689 1694189 1694689
 1695189 1695689 1696189 1696689 1697189 1697689 1698189 1698689 1699189
 1699689 1700189 1700689 1701189 1701689 1702189 1702689 1703189 1703689
 1704189 1704689 1705189 1705689 1706189 1706689 1707189 1707689 1708189
 1708689 1709189 1709689 1710189 1710689 1711189 1711689]",30000,60
62,U540_ses0,11,3,ReturnToBase1,"[22785, 23925]","[1711706, 1750071]",38365,"[1711706 1712206 1712706 1713206 1713706 1714206 1714706 1715206 1715706
 1716206 1716706 1717206 1717706 1718206 1718706 1719206 1719706 1720206
 1720706 1721206 1721706 1722206 1722706 1723206 1723706 1724206 1724706
 1725206 1725706 1726206 1726706 1727206 1727706 1728206 1728706 1729206
 1729706 1730206 1730706 1731206 1731706 1732206 1732706 1733206 1733706
 1734206 1734706 1735206 1735706 1736206 1736706 1737206 1737706 1738206
 1738706 1739206 1739706 1740206 1740706 1741206 1741706 1742206 1742706
 1743206 1743706 1744206 1744706 1745206 1745706 1746206 1746706 1747206
 1747706 1748206 1748706 1749206 1749706]",38000,76
63,U540_ses0,11,4,Delay2,"[23938, 23953]","[1752087, 1762088]",10001,"[1752087 1752587 1753087 1753587 1754087 1754587 1755087 1755587 1756087
 1756587 1757087 1757587 1758087 1758587 1759087 1759587 1760087 1760587
 1761087 1761587 1762087]",10000,20
64,U540_ses0,11,5,Retrieval,"[23953, 24857]","[1762088, 1792104]",30016,"[1762088 1762588 1763088 1763588 1764088 1764588 1765088 1765588 1766088
 1766588 1767088 1767588 1768088 1768588 1769088 1769588 1770088 1770588
 1771088 1771588 1772088 1772588 1773088 1773588 1774088 1774588 1775088
 1775588 1776088 1776588 1777088 1777588 1778088 1778588 1779088 1779588
 1780088 1780588 1781088 1781588 1782088 1782588 1783088 1783588 1784088
 1784588 1785088 1785588 1786088 1786588 1787088 1787588 1788088 1788588
 1789088 1789588 1790088 1790588 1791088 1791588 1792088]",30000,60
65,U540_ses0,11,6,ReturnToBase2,"[24857, 24986]","[1792104, 1796287]",4183,[1792104 1792604 1793104 1793604 1794104 1794604 1795104 1795604 1796104],4000,8
66,U540_ses0,12,1,Delay1,"[25001, 25018]","[1798288, 1808304]",10016,"[1798288 1798788 1799288 1799788 1800288 1800788 1801288 1801788 1802288
 1802788 1803288 1803788 1804288 1804788 1805288 1805788 1806288 1806788
 1807288 1807788 1808288]",10000,20
67,U540_ses0,12,2,Encoding,"[25018, 25913]","[1808304, 1838320]",30016,"[1808304 1808804 1809304 1809804 1810304 1810804 1811304 1811804 1812304
 1812804 1813304 1813804 1814304 1814804 1815304 1815804 1816304 1816804
 1817304 1817804 1818304 1818804 1819304 1819804 1820304 1820804 1821304
 1821804 1822304 1822804 1823304 1823804 1824304 1824804 1825304 1825804
 1826304 1826804 1827304 1827804 1828304 1828804 1829304 1829804 1830304
 1830804 1831304 1831804 1832304 1832804 1833304 1833804 1834304 1834804
 1835304 1835804 1836304 1836804 1837304 1837804 1838304]",30000,60
68,U540_ses0,12,3,ReturnToBase1,"[25913, 25914]","[1838320, 1838320]",0,[],0,0
69,U540_ses0,12,4,Delay2,"[25926, 25941]","[1840337, 1850353]",10016,"[1840337 1840837 1841337 1841837 1842337 1842837 1843337 1843837 1844337
 1844837 1845337 1845837 1846337 1846837 1847337 1847837 1848337 1848837
 1849337 1849837 1850337]",10000,20
70,U540_ses0,12,5,Retrieval,"[25941, 26744]","[1850353, 1880369]",30016,"[1850353 1850853 1851353 1851853 1852353 1852853 1853353 1853853 1854353
 1854853 1855353 1855853 1856353 1856853 1857353 1857853 1858353 1858853
 1859353 1859853 1860353 1860853 1861353 1861853 1862353 1862853 1863353
 1863853 1864353 1864853 1865353 1865853 1866353 1866853 1867353 1867853
 1868353 1868853 1869353 1869853 1870353 1870853 1871353 1871853 1872353
 1872853 1873353 1873853 1874353 1874853 1875353 1875853 1876353 1876853
 1877353 1877853 1878353 1878853 1879353 1879853 1880353]",30000,60
71,U540_ses0,12,6,ReturnToBase2,"[26744, 26745]","[1880369, 1880369]",0,[],0,0
72,U540_ses0,13,1,Delay1,"[26762, 26777]","[1917851, 1927852]",10001,"[1917851 1918351 1918851 1919351 1919851 1920351 1920851 1921351 1921851
 1922351 1922851 1923351 1923851 1924351 1924851 1925351 1925851 1926351
 1926851 1927351 1927851]",10000,20
73,U540_ses0,13,2,Encoding,"[26777, 27679]","[1927852, 1957868]",30016,"[1927852 1928352 1928852 1929352 1929852 1930352 1930852 1931352 1931852
 1932352 1932852 1933352 1933852 1934352 1934852 1935352 1935852 1936352
 1936852 1937352 1937852 1938352 1938852 1939352 1939852 1940352 1940852
 1941352 1941852 1942352 1942852 1943352 1943852 1944352 1944852 1945352
 1945852 1946352 1946852 1947352 1947852 1948352 1948852 1949352 1949852
 1950352 1950852 1951352 1951852 1952352 1952852 1953352 1953852 1954352
 1954852 1955352 1955852 1956352 1956852 1957352 1957852]",30000,60
74,U540_ses0,13,3,ReturnToBase1,"[27679, 27849]","[1957868, 1963468]",5600,"[1957868 1958368 1958868 1959368 1959868 1960368 1960868 1961368 1961868
 1962368 1962868 1963368]",5500,11
75,U540_ses0,13,4,Delay2,"[27862, 27877]","[1965484, 1975485]",10001,"[1965484 1965984 1966484 1966984 1967484 1967984 1968484 1968984 1969484
 1969984 1970484 1970984 1971484 1971984 1972484 1972984 1973484 1973984
 1974484 1974984 1975484]",10000,20
76,U540_ses0,13,5,Retrieval,"[27877, 28771]","[1975485, 2005501]",30016,"[1975485 1975985 1976485 1976985 1977485 1977985 1978485 1978985 1979485
 1979985 1980485 1980985 1981485 1981985 1982485 1982985 1983485 1983985
 1984485 1984985 1985485 1985985 1986485 1986985 1987485 1987985 1988485
 1988985 1989485 1989985 1990485 1990985 1991485 1991985 1992485 1992985
 1993485 1993985 1994485 1994985 1995485 1995985 1996485 1996985 1997485
 1997985 1998485 1998985 1999485 1999985 2000485 2000985 2001485 2001985
 2002485 2002985 2003485 2003985 2004485 2004985 2005485]",30000,60
77,U540_ses0,13,6,ReturnToBase2,"[28771, 28925]","[2005501, 2010633]",5132,"[2005501 2006001 2006501 2007001 2007501 2008001 2008501 2009001 2009501
 2010001 2010501]",5000,10
78,U540_ses0,14,1,Delay1,"[28940, 28956]","[2012633, 2022634]",10001,"[2012633 2013133 2013633 2014133 2014633 2015133 2015633 2016133 2016633
 2017133 2017633 2018133 2018633 2019133 2019633 2020133 2020633 2021133
 2021633 2022133 2022633]",10000,20
79,U540_ses0,14,2,Encoding,"[28956, 29854]","[2022634, 2052650]",30016,"[2022634 2023134 2023634 2024134 2024634 2025134 2025634 2026134 2026634
 2027134 2027634 2028134 2028634 2029134 2029634 2030134 2030634 2031134
 2031634 2032134 2032634 2033134 2033634 2034134 2034634 2035134 2035634
 2036134 2036634 2037134 2037634 2038134 2038634 2039134 2039634 2040134
 2040634 2041134 2041634 2042134 2042634 2043134 2043634 2044134 2044634
 2045134 2045634 2046134 2046634 2047134 2047634 2048134 2048634 2049134
 2049634 2050134 2050634 2051134 2051634 2052134 2052634]",30000,60
80,U540_ses0,14,3,ReturnToBase1,"[29854, 29855]","[2052650, 2052650]",0,[],0,0
