,trial,gameState,45-1
162,1,Retrieval,1
163,1,Retrieval,0
164,1,Retrieval,0
165,1,Retrieval,0
166,1,Retrieval,0
167,1,Retrieval,0
168,1,Retrieval,0
169,1,Retrieval,0
170,1,Retrieval,0
171,1,Retrieval,0
172,1,Retrieval,1
173,1,Retrieval,1
174,1,Retrieval,0
175,1,Retrieval,0
176,1,Retrieval,0
177,1,Retrieval,0
178,1,Retrieval,1
192,2,Delay1,0
193,2,Delay1,0
194,2,Delay1,0
195,2,Delay1,0
196,2,Delay1,1
197,2,Delay1,0
198,2,Delay1,0
199,2,Delay1,0
200,2,Delay1,0
201,2,Delay1,0
202,2,Delay1,0
203,2,Delay1,1
204,2,Delay1,0
205,2,Delay1,0
206,2,Delay1,0
207,2,Delay1,0
208,2,Delay1,2
209,2,Delay1,1
210,2,Delay1,1
211,2,Delay1,0
212,2,Encoding,0
213,2,Encoding,1
214,2,Encoding,0
215,2,Encoding,1
216,2,Encoding,0
217,2,Encoding,0
218,2,Encoding,1
219,2,Encoding,0
220,2,Encoding,0
221,2,Encoding,0
222,2,Encoding,0
223,2,Encoding,0
224,2,Encoding,0
225,2,Encoding,1
226,2,Encoding,0
227,2,Encoding,0
228,2,Encoding,0
229,2,Encoding,0
230,2,Encoding,0
231,2,Encoding,0
232,2,Encoding,0
233,2,Encoding,0
234,2,Encoding,0
235,2,Encoding,0
236,2,Encoding,1
237,2,Encoding,0
238,2,Encoding,1
239,2,Encoding,4
240,2,Encoding,0
241,2,Encoding,0
242,2,Encoding,0
243,2,Encoding,0
244,2,Encoding,0
245,2,Encoding,0
246,2,Encoding,0
247,2,Encoding,0
248,2,Encoding,0
249,2,Encoding,0
250,2,Encoding,0
251,2,Encoding,0
252,2,Encoding,0
253,2,Encoding,1
254,2,Encoding,1
255,2,Encoding,0
256,2,Encoding,0
257,2,Encoding,0
258,2,Encoding,0
259,2,Encoding,0
260,2,Encoding,1
261,2,Encoding,2
262,2,Encoding,0
263,2,Encoding,0
264,2,Encoding,1
265,2,Encoding,0
266,2,Encoding,0
267,2,Encoding,0
268,2,Encoding,0
269,2,Encoding,0
270,2,Encoding,0
271,2,Encoding,0
272,2,Delay2,1
273,2,Delay2,0
274,2,Delay2,0
275,2,Delay2,0
276,2,Delay2,1
277,2,Delay2,0
278,2,Delay2,0
279,2,Delay2,0
280,2,Delay2,0
281,2,Delay2,0
282,2,Delay2,0
283,2,Delay2,0
284,2,Delay2,0
285,2,Delay2,0
286,2,Delay2,0
287,2,Delay2,0
288,2,Delay2,0
289,2,Delay2,0
290,2,Delay2,1
291,2,Delay2,0
292,2,Retrieval,0
293,2,Retrieval,0
294,2,Retrieval,0
295,2,Retrieval,0
296,2,Retrieval,1
297,2,Retrieval,2
298,2,Retrieval,0
299,2,Retrieval,0
300,2,Retrieval,0
301,2,Retrieval,0
302,2,Retrieval,0
303,2,Retrieval,3
304,2,Retrieval,1
305,2,Retrieval,0
306,2,Retrieval,0
307,2,Retrieval,0
308,2,Retrieval,4
309,2,Retrieval,1
310,2,Retrieval,0
311,2,Retrieval,1
312,2,Retrieval,0
313,2,Retrieval,0
314,2,Retrieval,2
315,2,Retrieval,1
316,2,Retrieval,2
317,2,Retrieval,0
318,2,Retrieval,0
319,2,Retrieval,1
320,2,Retrieval,0
321,2,Retrieval,1
322,2,Retrieval,0
323,2,Retrieval,0
324,2,Retrieval,0
325,2,Retrieval,3
326,2,Retrieval,0
327,2,Retrieval,1
328,2,Retrieval,0
329,2,Retrieval,0
330,2,Retrieval,0
331,2,Retrieval,1
332,2,Retrieval,0
333,2,Retrieval,0
334,2,Retrieval,0
335,2,Retrieval,0
336,2,Retrieval,0
337,2,Retrieval,0
338,2,Retrieval,0
