,trial,gameState,maze_region,46-1
119,1,Retrieval,Base,0
120,1,Retrieval,Base,1
121,1,Retrieval,Base,0
122,1,Retrieval,Base,0
123,1,Retrieval,Base,1
124,1,Retrieval,Base,1
125,1,Retrieval,Base,0
126,1,Retrieval,Base,1
127,1,Retrieval,Base,4
128,1,Retrieval,SE_Hall,0
129,1,Retrieval,SE_Hall,0
130,1,Retrieval,SE_Hall,0
131,1,Retrieval,SE_Hall,1
132,1,Retrieval,SE_Hall,0
133,1,Retrieval,SE_Room,3
134,1,Retrieval,SE_Room,3
135,1,Retrieval,SE_Room,2
136,1,Retrieval,SE_Room,0
137,1,Retrieval,SE_Room,0
138,1,Retrieval,SE_Room,0
139,1,Retrieval,SE_Room,0
140,1,Retrieval,SE_Room,1
141,1,Retrieval,SE_Room,0
142,1,Retrieval,SE_Room,0
143,1,Retrieval,SE_Room,0
144,1,Retrieval,SE_Room,1
145,1,Retrieval,SE_Room,3
146,1,Retrieval,SE_Room,3
147,1,Retrieval,SE_Room,2
148,1,Retrieval,SE_Room,1
149,1,Retrieval,SE_Room,0
150,1,Retrieval,SE_Room,0
151,1,Retrieval,SE_Room,0
152,1,Retrieval,C_Hall,0
153,1,Retrieval,C_Hall,0
154,1,Retrieval,NE_Room,1
155,1,Retrieval,NE_Room,0
156,1,Retrieval,NE_Room,0
157,1,Retrieval,NE_Room,0
158,1,Retrieval,NE_Hall,1
159,1,Retrieval,NE_Hall,1
160,1,Retrieval,NE_Hall,0
161,1,Retrieval,NE_Hall,0
162,1,Retrieval,NE_Hall,0
163,1,Retrieval,NE_Hall,0
164,1,Retrieval,N_Passage,0
165,1,Retrieval,N_Passage,0
166,1,Retrieval,NW_Hall,0
167,1,Retrieval,NW_Hall,0
168,1,Retrieval,NW_Hall,0
169,1,Retrieval,NW_Hall,0
170,1,Retrieval,NW_Hall,3
171,1,Retrieval,NW_Hall,2
172,1,Retrieval,NW_Hall,1
173,1,Retrieval,NW_Hall,0
174,1,Retrieval,NW_Hall,1
175,1,Retrieval,NW_Hall,0
176,1,Retrieval,NW_Hall,3
177,1,Retrieval,NW_Hall,5
178,1,Retrieval,NW_Hall,0
292,2,Retrieval,Base,0
293,2,Retrieval,Base,1
294,2,Retrieval,Base,0
295,2,Retrieval,Base,6
296,2,Retrieval,Base,0
297,2,Retrieval,S_Passage,1
298,2,Retrieval,S_Passage,1
299,2,Retrieval,S_Passage,0
300,2,Retrieval,C_Hall,0
301,2,Retrieval,C_Hall,1
302,2,Retrieval,C_Hall,0
303,2,Retrieval,C_Hall,0
304,2,Retrieval,C_Hall,2
305,2,Retrieval,C_Hall,1
306,2,Retrieval,C_Hall,0
307,2,Retrieval,SE_Room,0
308,2,Retrieval,SE_Room,1
309,2,Retrieval,SE_Room,2
310,2,Retrieval,SE_Room,0
311,2,Retrieval,SE_Room,0
312,2,Retrieval,SE_Room,0
313,2,Retrieval,SE_Room,0
314,2,Retrieval,SE_Room,0
315,2,Retrieval,SE_Room,1
316,2,Retrieval,SE_Room,0
317,2,Retrieval,SE_Room,0
318,2,Retrieval,SE_Room,1
319,2,Retrieval,SE_Room,4
320,2,Retrieval,SE_Room,1
321,2,Retrieval,SE_Room,2
322,2,Retrieval,SE_Room,1
323,2,Retrieval,SE_Room,0
324,2,Retrieval,SE_Room,0
325,2,Retrieval,SE_Room,0
326,2,Retrieval,SE_Room,0
327,2,Retrieval,SE_Room,0
328,2,Retrieval,SE_Room,1
329,2,Retrieval,SE_Room,0
330,2,Retrieval,SE_Room,0
331,2,Retrieval,SE_Room,0
332,2,Retrieval,SE_Room,0
333,2,Retrieval,SE_Room,0
334,2,Retrieval,SE_Room,0
335,2,Retrieval,C_Hall,0
336,2,Retrieval,C_Hall,1
337,2,Retrieval,C_Hall,1
338,2,Retrieval,C_Hall,0
339,2,Retrieval,C_Hall,0
340,2,Retrieval,C_Hall,0
341,2,Retrieval,C_Hall,1
342,2,Retrieval,C_Hall,1
343,2,Retrieval,C_Hall,1
344,2,Retrieval,C_Hall,0
345,2,Retrieval,C_Hall,0
346,2,Retrieval,C_Hall,3
347,2,Retrieval,NE_Room,3
348,2,Retrieval,NE_Room,0
349,2,Retrieval,NE_Room,2
350,2,Retrieval,NE_Hall,2
351,2,Retrieval,NE_Hall,5
468,3,Retrieval,Base,3
469,3,Retrieval,Base,0
470,3,Retrieval,Base,2
471,3,Retrieval,Base,0
472,3,Retrieval,Base,0
473,3,Retrieval,Base,2
474,3,Retrieval,SW_Hall,0
475,3,Retrieval,SW_Hall,1
476,3,Retrieval,SW_Hall,4
477,3,Retrieval,SW_Hall,2
478,3,Retrieval,SW_Room,0
479,3,Retrieval,SW_Room,0
480,3,Retrieval,SW_Room,0
481,3,Retrieval,SW_Room,0
482,3,Retrieval,C_Hall,0
483,3,Retrieval,C_Hall,0
484,3,Retrieval,C_Hall,0
485,3,Retrieval,C_Hall,1
486,3,Retrieval,C_Hall,0
487,3,Retrieval,C_Hall,1
488,3,Retrieval,C_Hall,2
489,3,Retrieval,C_Hall,0
490,3,Retrieval,C_Hall,0
491,3,Retrieval,C_Hall,0
492,3,Retrieval,C_Hall,2
493,3,Retrieval,C_Hall,0
494,3,Retrieval,C_Hall,2
495,3,Retrieval,C_Hall,2
496,3,Retrieval,C_Hall,0
497,3,Retrieval,NW_Room,0
498,3,Retrieval,NW_Room,2
499,3,Retrieval,NW_Room,3
500,3,Retrieval,NW_Room,1
501,3,Retrieval,NW_Hall,1
502,3,Retrieval,NW_Hall,1
503,3,Retrieval,NW_Hall,0
504,3,Retrieval,NW_Hall,0
505,3,Retrieval,NW_Hall,1
506,3,Retrieval,NW_Hall,0
507,3,Retrieval,NW_Hall,0
508,3,Retrieval,NW_Room,1
509,3,Retrieval,NW_Room,1
510,3,Retrieval,NW_Room,1
511,3,Retrieval,NW_Room,3
512,3,Retrieval,NW_Room,2
513,3,Retrieval,NW_Room,2
514,3,Retrieval,NW_Room,0
515,3,Retrieval,NW_Hall,1
516,3,Retrieval,NW_Hall,3
517,3,Retrieval,NW_Hall,0
518,3,Retrieval,NW_Hall,0
519,3,Retrieval,NW_Hall,0
520,3,Retrieval,NW_Hall,1
521,3,Retrieval,N_Passage,0
522,3,Retrieval,NE_Hall,0
523,3,Retrieval,NE_Hall,0
524,3,Retrieval,NE_Hall,0
525,3,Retrieval,NE_Hall,1
526,3,Retrieval,NE_Hall,0
527,3,Retrieval,NE_Hall,6
644,4,Retrieval,Base,1
645,4,Retrieval,Base,0
646,4,Retrieval,Base,0
647,4,Retrieval,Base,0
648,4,Retrieval,Base,5
649,4,Retrieval,SW_Hall,1
650,4,Retrieval,SW_Hall,0
651,4,Retrieval,SW_Hall,1
652,4,Retrieval,SW_Hall,1
653,4,Retrieval,SW_Hall,1
654,4,Retrieval,SW_Room,6
655,4,Retrieval,SW_Room,2
656,4,Retrieval,SW_Room,1
657,4,Retrieval,SW_Room,3
658,4,Retrieval,SW_Room,0
659,4,Retrieval,SW_Room,0
660,4,Retrieval,SW_Room,0
661,4,Retrieval,SW_Room,1
662,4,Retrieval,SW_Room,5
