subj,hosp,expType,sess,lfpData,frData,behData
U367,ucla,spatNav,env2,lfp,cheetah,logs
U369,ucla,"spatNav, spatNav","env1, env2",lfp,cheetah,logs
U370,ucla,spatNav,env1,lfp,cheetah,logs
U371,ucla,"spatNav, spatNav, spatNav","env1, env2, env3",lfp,cheetah,logs
U372,ucla,"spatNav, spatNav","ses1, ses2",lfp,cheetah,logs
U373,ucla,"spatNav, spatNav, spatNav","ses1, ses2, ses3",lfp,cheetah,logs
U374,ucla,"spatNav, spatNav","ses1, ses2",lfp,cheetah,logs
U379,ucla,spatNav,ses1,lfp,cheetah,logs
U380,ucla,"spatNav, spatNav, spatNav","ses1a, ses2, ses3",lfp,cheetah,logs
U381,ucla,"spatNav, spatNav, spatNav","ses1, ses2, ses3",lfp,cheetah,logs
U384,ucla,"spatNav, spatNav, spatNav","ses1, ses2, ses3",lfp,cheetah,logs
U385,ucla,"spatNav, spatNav, spatNav, spatNav","ses1, ses2, ses3, ses4",lfp,cheetah,logs
U386,ucla,"spatNav, spatNav","ses1, ses2",lfp,cheetah,logs
U387,ucla,"spatNav, spatNav, spatNav","ses1, ses2, ses3",lfp,cheetah,logs
U390,ucla,"spatNav, spatNav, spatNav, spatNav","ses1, ses2, ses3, ses4",lfp,cheetah,logs
U392,ucla,spatNav,ses1,lfp,cheetah,logs
U393,ucla,spatNav,ses2,lfp,cheetah,logs
U394,ucla,"spatNav, spatNav","ses1, ses3",lfp,cheetah,logs
U395,ucla,"spatNav, spatNav, spatNav","ses1, ses2, ses3",lfp,cheetah,logs
U396,ucla,"spatNav, spatNav","ses2, ses3",lfp,cheetah,logs
