,0
0,1659886172832.921
1,1659886173714.389
2,1659886174687.295
3,1659886175809.607
4,1659886177009.232
5,1659886177827.325
6,1659886178835.794
7,1659886179750.637
8,1659886180813.137
9,1659886181805.011
10,1659886182977.729
11,1659886183973.948
12,1659886185141.072
13,1659886186089.072
14,1659886187164.197
15,1659886188141.29
16,1659886189113.383
17,1659886190283.914
18,1659886191249.289
19,1659886192113.288
20,1659886193248.319
21,1659886194444.975
22,1659886195357.975
23,1659886196269.349
24,1659886197085.786
25,1659886197926.161
26,1659886198839.223
27,1659886199964.066
28,1659886200836.597
29,1659886201990.097
30,1659886203074.503
31,1659886204204.408
32,1659886205038.814
33,1659886206095.283
34,1659886206972.376
35,1659886207945.594
36,1659886208807.594
37,1659886209940.219
38,1659886211034.281
39,1659886211899.062
40,1659886212794.686
41,1659886213781.092
42,1659886214918.904
43,1659886216053.466
44,1659886216993.966
45,1659886217920.997
46,1659886219117.559
47,1659886220081.715
48,1659886221203.058
49,1659886222237.026
50,1659886223294.495
51,1659886224445.9
52,1659886225580.431
53,1659886226569.399
54,1659886227640.462
55,1659886228658.992
56,1659886229827.523
57,1659886230689.273
58,1659886231795.147
59,1659886232954.522
60,1659886234059.678
61,1659886235144.552
62,1659886235984.583
63,1659886237093.145
64,1659886238201.989
65,1659886239045.176
66,1659886240006.394
67,1659886240916.862
68,1659886241788.018
69,1659886242689.268
70,1659886243604.361
71,1659886244644.986
72,1659886245520.329
73,1659886246420.517
74,1659886247588.829
75,1659886248537.984
76,1659886249396.453
77,1659886250375.734
78,1659886251547.014
79,1659886252636.264
80,1659886253480.482
81,1659886254629.701
82,1659886255432.513
83,1659886256471.387
84,1659886257367.825
85,1659886258499.262
86,1659886259695.855
87,1659886260741.23
88,1659886261925.667
89,1659886262984.197
90,1659886263989.666
91,1659886264790.353
92,1659886265616.696
93,1659886266752.165
94,1659886267711.352
95,1659886268722.82
96,1659886269668.038
97,1659886270497.007
98,1659886271322.663
99,1659886272218.85
100,1659886273384.287
101,1659886274470.38
102,1659886275363.911
103,1659886276384.223
104,1659886277302.223
105,1659886278119.598
106,1659886279195.722
107,1659886280229.097
108,1659886281250.253
109,1659886282172.221
110,1659886283132.908
111,1659886284122.876
112,1659886285013.595
113,1659886285830.094
114,1659886286945.406
115,1659886288100.437
116,1659886289181.906
117,1659886290183.593
118,1659886291195.717
119,1659886292374.279
120,1659886293221.341
121,1659886294337.341
122,1659886295262.903
123,1659886296274.871
124,1659886297370.34
125,1659886298285.402
126,1659886299299.214
127,1659886300239.151
128,1659886301380.619
129,1659886302336.619
130,1659886303139.994
131,1659886303968.587
132,1659886304921.649
133,1659886305996.399
134,1659886307119.148
135,1659886308076.679
136,1659886309132.554
137,1659886310114.897
138,1659886311035.209
139,1659886311915.021
140,1659886312769.959
141,1659886313732.396
142,1659886314557.02
143,1659886315618.895
144,1659886316517.426
145,1659886317333.519
146,1659886318443.363
147,1659886319252.456
148,1659886320072.331
149,1659886321077.424
150,1659886322207.174
151,1659886323351.486
152,1659886324368.86
153,1659886325216.11
154,1659886326065.328
155,1659886326914.922
156,1659886327874.921
157,1659886328955.515
158,1659886330079.733
159,1659886330883.201
160,1659886331886.826
161,1659886332822.201
162,1659886333914.388
163,1659886334779.825
164,1659886335698.199
165,1659886336630.605
166,1659886337466.761
167,1659886338482.917
168,1659886339375.979
169,1659886340333.698
170,1659886341233.385
171,1659886342132.978
172,1659886343012.946
173,1659886343946.321
174,1659886345068.633
175,1659886346152.57
176,1659886347245.32
177,1659886348308.351
178,1659886349222.6
179,1659886350301.944
180,1659886351309.193
181,1659886352312.661
182,1659886353232.036
183,1659886354169.192
184,1659886355195.098
185,1659886356052.91
186,1659886357063.16
187,1659886357968.347
188,1659886358994.003
189,1659886360067.502
190,1659886361263.595
191,1659886362438.814
192,1659886363496.438
193,1659886364414.125
194,1659886365489.062
195,1659886366609.624
196,1659886367679.999
197,1659886368838.436
198,1659886369782.217
199,1659886370947.154
200,1659886372126.497
201,1659886373018.622
202,1659886374135.09
203,1659886375197.059
204,1659886376101.496
205,1659886377133.62
206,1659886378196.932
207,1659886379081.369
208,1659886380006.15
209,1659886380971.9
210,1659886381929.025
211,1659886383026.555
212,1659886383992.055
213,1659886384835.992
214,1659886385833.273
215,1659886387032.835
216,1659886387848.116
217,1659886388802.241
218,1659886389842.021
219,1659886390701.115
220,1659886391823.864
221,1659886392955.364
222,1659886394146.801
223,1659886395165.894
224,1659886396126.3
225,1659886397049.362
226,1659886398090.518
227,1659886399253.861
228,1659886400311.642
229,1659886401112.579
230,1659886401926.642
231,1659886403059.641
232,1659886403979.453
233,1659886404927.578
234,1659886406027.546
235,1659886406941.202
236,1659886408028.545
237,1659886409084.732
238,1659886409917.763
239,1659886411112.669
240,1659886412106.887
241,1659886413032.106
242,1659886414211.887
243,1659886415070.886
244,1659886415986.917
245,1659886416886.104
246,1659886417895.323
247,1659886418909.197
248,1659886420029.759
249,1659886421106.478
250,1659886422210.446
251,1659886423126.946
252,1659886424046.601
253,1659886424930.132
254,1659886425773.944
255,1659886426622.1
256,1659886427523.725
257,1659886428419.787
258,1659886429322.162
259,1659886430502.38
260,1659886431693.005
261,1659886432793.473
262,1659886433820.848
263,1659886434744.191
264,1659886435695.503
265,1659886436719.659
266,1659886437698.346
267,1659886438514.127
268,1659886439458.658
269,1659886440341.814
270,1659886441252.97
271,1659886442211.313
272,1659886443131.594
273,1659886444176.312
274,1659886445240.562
275,1659886446236.78
276,1659886447388.03
277,1659886448519.185
278,1659886449422.81
279,1659886450283.966
280,1659886451397.809
281,1659886452225.215
282,1659886453068.215
283,1659886454249.558
284,1659886455146.839
285,1659886456244.495
286,1659886457257.619
287,1659886458092.713
288,1659886458997.994
289,1659886460050.337
290,1659886460862.087
291,1659886461851.899
292,1659886462806.773
293,1659886463659.867
294,1659886464464.648
295,1659886465558.679
296,1659886466657.209
297,1659886467712.959
298,1659886468820.833
299,1659886469912.364
