,0
388,1659886545356.146
389,1659886546481.552
390,1659886547334.677
391,1659886548271.239
392,1659886549302.364
393,1659886550225.801
394,1659886551317.019
395,1659886552197.925
396,1659886553196.456
397,1659886554328.924
398,1659886555373.486
399,1659886556439.798
400,1659886557608.298
401,1659886558738.547
402,1659886559899.578
403,1659886560939.078
404,1659886561921.39
405,1659886562763.858
406,1659886563937.139
407,1659886564947.326
408,1659886566122.326
409,1659886567226.419
410,1659886568395.262
411,1659886569503.293
412,1659886570458.011
413,1659886571351.261
414,1659886572167.417
415,1659886573179.854
416,1659886574020.166
417,1659886574858.885
418,1659886576046.79
419,1659886576869.978
420,1659886577824.758
421,1659886578726.414
422,1659886579736.258
423,1659886580789.695
424,1659886581818.101
425,1659886582658.756
426,1659886583791.787
427,1659886584712.599
428,1659886585762.912
429,1659886586809.38
430,1659886587844.754
431,1659886588961.598
432,1659886589865.566
433,1659886590801.222
434,1659886591779.472
435,1659886592829.659
436,1659886593969.127
437,1659886594875.47
438,1659886595896.001
439,1659886596702.376
440,1659886597557.844
441,1659886598623.406
442,1659886599801.406
443,1659886600769.218
444,1659886601925.749
445,1659886602870.217
446,1659886604052.373
447,1659886604989.56
448,1659886605895.56
449,1659886606774.028
450,1659886607614.153
451,1659886608574.996
452,1659886609718.089
453,1659886610739.245
454,1659886611651.995
455,1659886612718.057
456,1659886613638.682
457,1659886614545.869
458,1659886615356.212
459,1659886616298.337
460,1659886617207.993
461,1659886618261.492
462,1659886619421.429
463,1659886620348.304
464,1659886621217.897
465,1659886622070.241
466,1659886623074.959
467,1659886623894.365
468,1659886625008.771
469,1659886625974.927
470,1659886627047.145
471,1659886628181.301
472,1659886629199.988
473,1659886630381.019
474,1659886631548.206
475,1659886632637.83
476,1659886633561.549
477,1659886634403.579
478,1659886635500.11
479,1659886636384.735
480,1659886637242.641
481,1659886638238.078
482,1659886639051.515
483,1659886640022.671
484,1659886641030.014
485,1659886641905.795
486,1659886643078.357
487,1659886644161.326
488,1659886644984.575
489,1659886646095.981
490,1659886647025.199
491,1659886648056.355
492,1659886648952.855
493,1659886649831.011
494,1659886650929.198
495,1659886651932.854
496,1659886653039.384
497,1659886654090.853
498,1659886654989.321
499,1659886656093.54
500,1659886657232.758
501,1659886658396.195
502,1659886659419.819
503,1659886660559.1
504,1659886661565.037
505,1659886662470.474
506,1659886663611.88
507,1659886664775.161
508,1659886665828.161
509,1659886666850.254
510,1659886667794.035
511,1659886668671.972
512,1659886669683.722
513,1659886670810.065
514,1659886671694.471
515,1659886672809.095
516,1659886673847.97
517,1659886674836.688
518,1659886675956.938
519,1659886677149.969
520,1659886678029.156
521,1659886679150.28
522,1659886680345.905
523,1659886681148.248
524,1659886681985.123
525,1659886682826.529
526,1659886683863.591
527,1659886684803.903
528,1659886685688.34
529,1659886686652.933
530,1659886687837.308
531,1659886688909.589
532,1659886690052.901
533,1659886691244.244
534,1659886692188.838
535,1659886693082.993
536,1659886694255.555
537,1659886695129.649
538,1659886696294.398
539,1659886697195.554
540,1659886698128.804
541,1659886698938.647
542,1659886699767.991
543,1659886700768.428
544,1659886701736.927
545,1659886702588.146
546,1659886703408.489
547,1659886704379.333
548,1659886705572.895
549,1659886706755.175
550,1659886707917.8
551,1659886708834.3
552,1659886709965.237
553,1659886710870.174
554,1659886711895.892
555,1659886712713.892
556,1659886713881.11
557,1659886714901.516
558,1659886716005.015
559,1659886716970.765
560,1659886718038.64
561,1659886719040.014
562,1659886720117.389
563,1659886721005.107
564,1659886722043.888
565,1659886723113.888
566,1659886724048.012
567,1659886725067.762
568,1659886726049.074
569,1659886727239.73
570,1659886728380.698
571,1659886729345.791
572,1659886730369.791
573,1659886731388.728
574,1659886732448.071
575,1659886733317.571
576,1659886734409.946
577,1659886735405.195
578,1659886736439.601
579,1659886737623.632
580,1659886738444.069
581,1659886739311.412
582,1659886740257.662
583,1659886741158.599
584,1659886742162.63
585,1659886743229.692
586,1659886744371.598
587,1659886745410.785
588,1659886746377.253
589,1659886747303.597
590,1659886748229.815
591,1659886749182.065
592,1659886750152.033
593,1659886751151.314
594,1659886752185.157
595,1659886753316.5
596,1659886754248.563
597,1659886755390.25
598,1659886756551.687
599,1659886757648.655
600,1659886758764.842
601,1659886759765.623
602,1659886760954.247
603,1659886761757.435
604,1659886762599.684
605,1659886763595.559
606,1659886764687.996
607,1659886765599.558
608,1659886766644.058
609,1659886767599.307
610,1659886768526.057
611,1659886769498.088
612,1659886770683.4
613,1659886771802.212
614,1659886772745.93
615,1659886773746.524
616,1659886774600.742
617,1659886775576.96
618,1659886776661.616
619,1659886777832.991
620,1659886778961.928
621,1659886780057.74
622,1659886780911.364
623,1659886781765.52
624,1659886782828.739
625,1659886783818.832
626,1659886785013.894
627,1659886785838.019
628,1659886787024.706
629,1659886788153.268
630,1659886789290.674
631,1659886790441.079
632,1659886791474.673
633,1659886792610.735
634,1659886793478.859
635,1659886794499.109
636,1659886795377.765
637,1659886796321.108
638,1659886797181.483
639,1659886797987.858
640,1659886799162.013
641,1659886800191.669
642,1659886801386.231
643,1659886802197.106
644,1659886802997.293
645,1659886804152.543
646,1659886805119.167
647,1659886806171.136
648,1659886807025.573
649,1659886807858.229
650,1659886808934.822
651,1659886810091.509
652,1659886810948.665
653,1659886812139.383
654,1659886813306.539
655,1659886814127.726
656,1659886815075.382
657,1659886816209.663
658,1659886817148.662
659,1659886818200.568
660,1659886819202.005
661,1659886820270.349
662,1659886821195.442
663,1659886822311.817
664,1659886823328.972
665,1659886824304.722
666,1659886825442.972
667,1659886826291.721
668,1659886827342.221
669,1659886828466.627
670,1659886829387.72
671,1659886830499.688
672,1659886831414.875
673,1659886832492.656
674,1659886833689.843
675,1659886834589.187
676,1659886835690.749
677,1659886836532.092
678,1659886837385.435
679,1659886838493.841
680,1659886839317.247
681,1659886840260.716
682,1659886841431.34
683,1659886842584.746
684,1659886843435.902
685,1659886844617.558
686,1659886845709.995
687,1659886846753.4
688,1659886847921.962
689,1659886848768.462
690,1659886849641.993
691,1659886850586.305
692,1659886851391.492
693,1659886852401.148
694,1659886853406.804
695,1659886854311.929
696,1659886855215.241
697,1659886856092.834
698,1659886857086.178
699,1659886858110.271
700,1659886858925.864
701,1659886859842.739
702,1659886860644.989
703,1659886861574.832
704,1659886862685.925
705,1659886863851.237
706,1659886864892.018
707,1659886865871.58
708,1659886867063.799
709,1659886868131.267
710,1659886869051.86
711,1659886869957.516
712,1659886871037.953
713,1659886872068.234
714,1659886873095.452
715,1659886873954.171
716,1659886875052.202
717,1659886876024.795
718,1659886877090.263
719,1659886878125.45
720,1659886879209.044
721,1659886880104.106
722,1659886880983.668
723,1659886881986.761
724,1659886883038.198
725,1659886884214.354
726,1659886885322.166
727,1659886886427.01
728,1659886887299.884
729,1659886888391.54
730,1659886889588.04
731,1659886890611.602
732,1659886891659.351
733,1659886892689.101
734,1659886893781.444
735,1659886894887.85
736,1659886895829.881
737,1659886896870.412
738,1659886897711.411
739,1659886898597.13
740,1659886899537.973
741,1659886900449.941
742,1659886901500.347
743,1659886902401.441
744,1659886903527.815
745,1659886904694.94
746,1659886905759.346
747,1659886906732.876
748,1659886907914.626
749,1659886908860.969
750,1659886909868.25
751,1659886910999.687
752,1659886912010.718
753,1659886913168.374
754,1659886914309.53
755,1659886915429.998
756,1659886916266.966
757,1659886917264.528
758,1659886918342.84
759,1659886919477.09
760,1659886920335.465
761,1659886921470.37
762,1659886922377.308
763,1659886923278.276
764,1659886924350.182
