,subj_sess,time,key,value
15,U554_ses0,43576.09938848756,syncPulse,{}
16,U554_ses0,44661.3510262964,syncPulse,{}
17,U554_ses0,45618.63013957552,syncPulse,{}
18,U554_ses0,46626.96032046063,syncPulse,{}
19,U554_ses0,47559.29899462076,syncPulse,{}
20,U554_ses0,48591.56959466841,syncPulse,{}
21,U554_ses0,49534.89823423863,syncPulse,{}
22,U554_ses0,50442.11653404835,syncPulse,{}
23,U554_ses0,51411.58583200171,syncPulse,{}
24,U554_ses0,52223.78197187221,syncPulse,{}
25,U554_ses0,53143.14040652923,syncPulse,{}
26,U554_ses0,54279.58300731394,syncPulse,{}
27,U554_ses0,55405.82545337192,syncPulse,{}
28,U554_ses0,56260.04245134418,syncPulse,{}
29,U554_ses0,57243.42218314491,syncPulse,{}
30,U554_ses0,58397.78530756817,syncPulse,{}
31,U554_ses0,59280.10271982943,syncPulse,{}
32,U554_ses0,60094.15900424295,syncPulse,{}
33,U554_ses0,60900.59526354397,syncPulse,{}
34,U554_ses0,61730.9917177928,syncPulse,{}
35,U554_ses0,62618.5194391094,syncPulse,{}
36,U554_ses0,63569.98837784662,syncPulse,{}
37,U554_ses0,64447.475859737155,syncPulse,{}
38,U554_ses0,65475.84647961284,syncPulse,{}
39,U554_ses0,66441.0556827859,syncPulse,{}
40,U554_ses0,67355.34394790296,syncPulse,{}
41,U554_ses0,68516.84710739128,syncPulse,{}
42,U554_ses0,69571.10813651548,syncPulse,{}
43,U554_ses0,70713.60090686582,syncPulse,{}
44,U554_ses0,71829.15319818426,syncPulse,{}
45,U554_ses0,72791.50248100334,syncPulse,{}
46,U554_ses0,73866.67383952458,syncPulse,{}
47,U554_ses0,74812.09285284166,syncPulse,{}
48,U554_ses0,75863.56378722409,syncPulse,{}
49,U554_ses0,76869.98377373925,syncPulse,{}
50,U554_ses0,77676.67003802938,syncPulse,{}
51,U554_ses0,78590.93828321568,syncPulse,{}
57,U554_ses0,79525.15687770411,syncPulse,{}
58,U554_ses0,80453.575307616,syncPulse,{}
59,U554_ses0,81387.92403165443,syncPulse,{}
60,U554_ses0,82445.36505587942,syncPulse,{}
61,U554_ses0,83428.74478768015,syncPulse,{}
62,U554_ses0,84479.27576189843,syncPulse,{}
63,U554_ses0,85468.60531946545,syncPulse,{}
64,U554_ses0,86567.18730142034,syncPulse,{}
65,U554_ses0,87395.4438203864,syncPulse,{}
66,U554_ses0,88290.6518707533,syncPulse,{}
67,U554_ses0,89281.1616276537,syncPulse,{}
68,U554_ses0,90353.36295620173,syncPulse,{}
69,U554_ses0,91347.68284773112,syncPulse,{}
70,U554_ses0,92533.92649117624,syncPulse,{}
71,U554_ses0,93370.36310502532,syncPulse,{}
72,U554_ses0,94254.6707913796,syncPulse,{}
73,U554_ses0,95098.01769938087,syncPulse,{}
74,U554_ses0,96255.56081890492,syncPulse,{}
75,U554_ses0,97059.60664964304,syncPulse,{}
76,U554_ses0,98068.85677076151,syncPulse,{}
77,U554_ses0,99197.14930655932,syncPulse,{}
78,U554_ses0,100040.33629925997,syncPulse,{}
79,U554_ses0,100858.60262862686,syncPulse,{}
80,U554_ses0,101929.08395214728,syncPulse,{}
81,U554_ses0,103017.3856996524,syncPulse,{}
82,U554_ses0,103981.81485796196,syncPulse,{}
83,U554_ses0,105036.3058721445,syncPulse,{}
84,U554_ses0,106086.8268363974,syncPulse,{}
85,U554_ses0,107130.3676808859,syncPulse,{}
86,U554_ses0,108121.71754244209,syncPulse,{}
87,U554_ses0,108996.1248847402,syncPulse,{}
88,U554_ses0,110043.5459336154,syncPulse,{}
89,U554_ses0,111021.9653613499,syncPulse,{}
90,U554_ses0,112062.4060463152,syncPulse,{}
91,U554_ses0,113209.68895132022,syncPulse,{}
92,U554_ses0,114293.92079338734,syncPulse,{}
93,U554_ses0,115364.34205711544,syncPulse,{}
94,U554_ses0,116336.78138504199,syncPulse,{}
95,U554_ses0,117440.09344185928,syncPulse,{}
96,U554_ses0,118541.33538900597,syncPulse,{}
97,U554_ses0,119628.63711655463,syncPulse,{}
98,U554_ses0,120759.03980188459,syncPulse,{}
99,U554_ses0,121695.34828182888,syncPulse,{}
100,U554_ses0,122514.81483045992,syncPulse,{}
101,U554_ses0,123486.23411849925,syncPulse,{}
102,U554_ses0,124667.46765219673,syncPulse,{}
108,U554_ses0,125615.9265210992,syncPulse,{}
109,U554_ses0,126744.30914658548,syncPulse,{}
110,U554_ses0,127669.72751662803,syncPulse,{}
111,U554_ses0,128660.01729843546,syncPulse,{}
112,U554_ses0,129561.43543366865,syncPulse,{}
113,U554_ses0,130654.77707667208,syncPulse,{}
114,U554_ses0,131659.04711793904,syncPulse,{}
115,U554_ses0,132655.24717394225,syncPulse,{}
116,U554_ses0,133640.48680614048,syncPulse,{}
117,U554_ses0,134531.8744677675,syncPulse,{}
118,U554_ses0,135442.12261319725,syncPulse,{}
119,U554_ses0,136506.35405613531,syncPulse,{}
120,U554_ses0,137674.537280572,syncPulse,{}
121,U554_ses0,138492.83363983504,syncPulse,{}
122,U554_ses0,139688.33747784272,syncPulse,{}
123,U554_ses0,140826.73006871343,syncPulse,{}
124,U554_ses0,141681.1772958895,syncPulse,{}
125,U554_ses0,142717.72801064822,syncPulse,{}
126,U554_ses0,143537.99437992804,syncPulse,{}
127,U554_ses0,144681.4371204079,syncPulse,{}
128,U554_ses0,145575.91493159274,syncPulse,{}
129,U554_ses0,146729.2279862326,syncPulse,{}
130,U554_ses0,147568.67466991645,syncPulse,{}
131,U554_ses0,148520.01372324917,syncPulse,{}
132,U554_ses0,149533.45386939027,syncPulse,{}
133,U554_ses0,150604.96524276328,syncPulse,{}
134,U554_ses0,151459.18224073554,syncPulse,{}
135,U554_ses0,152361.61040589056,syncPulse,{}
136,U554_ses0,153481.9528318637,syncPulse,{}
137,U554_ses0,154680.4667397061,syncPulse,{}
138,U554_ses0,155786.79863217802,syncPulse,{}
139,U554_ses0,156986.2427343647,syncPulse,{}
145,U554_ses0,157885.65057557408,syncPulse,{}
146,U554_ses0,158993.07257769094,syncPulse,{}
147,U554_ses0,159808.28904150706,syncPulse,{}
148,U554_ses0,160933.69138290925,syncPulse,{}
149,U554_ses0,161857.9297977639,syncPulse,{}
150,U554_ses0,162711.32695515663,syncPulse,{}
151,U554_ses0,163601.82470644644,syncPulse,{}
152,U554_ses0,164583.2441940503,syncPulse,{}
153,U554_ses0,165427.66119176574,syncPulse,{}
154,U554_ses0,166609.09468062536,syncPulse,{}
155,U554_ses0,167464.60174340475,syncPulse,{}
156,U554_ses0,168519.9228522777,syncPulse,{}
157,U554_ses0,169494.4222799095,syncPulse,{}
158,U554_ses0,170302.31828513814,syncPulse,{}
159,U554_ses0,171305.648366241,syncPulse,{}
160,U554_ses0,172389.889974128,syncPulse,{}
161,U554_ses0,173495.30217051203,syncPulse,{}
162,U554_ses0,174643.63490115493,syncPulse,{}
163,U554_ses0,175719.07652874154,syncPulse,{}
169,U554_ses0,176818.41853562917,syncPulse,{}
170,U554_ses0,178017.8924235665,syncPulse,{}
171,U554_ses0,179046.39292884668,syncPulse,{}
172,U554_ses0,180133.75447204217,syncPulse,{}
173,U554_ses0,181129.22453300876,syncPulse,{}
174,U554_ses0,182218.556086221,syncPulse,{}
175,U554_ses0,183392.989679531,syncPulse,{}
176,U554_ses0,184569.44308853915,syncPulse,{}
177,U554_ses0,185600.02371345533,syncPulse,{}
178,U554_ses0,186639.2544133366,syncPulse,{}
179,U554_ses0,187539.46231934027,syncPulse,{}
180,U554_ses0,188614.7638074115,syncPulse,{}
181,U554_ses0,189601.2034147284,syncPulse,{}
182,U554_ses0,190585.67325617402,syncPulse,{}
183,U554_ses0,191497.17142654932,syncPulse,{}
184,U554_ses0,192462.65065464226,syncPulse,{}
185,U554_ses0,193323.89782220585,syncPulse,{}
186,U554_ses0,194126.3037276394,syncPulse,{}
187,U554_ses0,194996.78130401488,syncPulse,{}
188,U554_ses0,196011.1113604932,syncPulse,{}
189,U554_ses0,196812.4674402889,syncPulse,{}
190,U554_ses0,197758.93627924385,syncPulse,{}
191,U554_ses0,198797.47702395008,syncPulse,{}
192,U554_ses0,199895.94889628576,syncPulse,{}
193,U554_ses0,200809.1570617233,syncPulse,{}
194,U554_ses0,201907.3491433192,syncPulse,{}
195,U554_ses0,202890.5587057084,syncPulse,{}
196,U554_ses0,204066.96230903515,syncPulse,{}
197,U554_ses0,205074.38231550675,syncPulse,{}
198,U554_ses0,205941.8595878674,syncPulse,{}
199,U554_ses0,206911.15896055472,syncPulse,{}
200,U554_ses0,207907.57874750535,syncPulse,{}
201,U554_ses0,209080.02231086782,syncPulse,{}
202,U554_ses0,210002.3107356365,syncPulse,{}
203,U554_ses0,210809.6867109562,syncPulse,{}
