,0
0,1148.0
1,2006.3
2,2843.733333333333
3,3927.2
4,5116.066666666667
5,5972.766666666666
6,7052.233333333334
7,8176.8
8,9251.0
9,10237.4
10,11395.366666666667
11,12291.033333333333
12,13257.6
13,14372.066666666666
14,15339.466666666667
15,16436.6
16,17571.3
17,18503.7
18,19564.066666666666
19,20381.266666666666
20,21555.866666666665
21,22666.8
22,23738.566666666666
23,24670.4
24,25736.766666666666
25,26818.166666666668
26,27835.333333333332
27,29009.733333333334
28,30127.033333333333
29,31275.63333333333
30,32098.2
31,33065.13333333333
32,34844.9
33,35692.4
34,36772.86666666667
35,37924.2
36,39028.933333333334
37,39905.23333333333
38,40919.7
39,41814.7
40,42872.4
41,43891.86666666667
42,44931.833333333336
43,45950.066666666666
44,46889.76666666666
45,47777.2
46,48715.2
47,49638.5
48,50782.73333333333
49,51622.066666666666
50,52807.666666666664
51,53629.0
52,54520.46666666667
53,55469.86666666667
54,56441.63333333333
55,57428.066666666666
56,58535.333333333336
57,59352.799999999996
58,60261.433333333334
59,61299.433333333334
60,62404.96666666667
61,63212.799999999996
62,64339.96666666667
63,65304.26666666666
64,66293.5
65,67185.86666666667
66,68374.46666666666
67,69442.06666666667
68,70528.53333333333
69,71673.96666666666
70,72503.36666666667
71,73358.53333333333
72,74205.16666666667
73,75327.6
74,76244.03333333333
75,77135.33333333333
76,77965.43333333333
77,79077.83333333333
78,80005.3
79,80998.56666666667
80,81878.2
81,82928.5
82,84101.2
83,85210.9
84,86047.33333333333
85,86993.6
86,88105.23333333334
87,88932.26666666666
88,90007.9
89,90901.2
90,91745.8
91,92832.7
92,94001.1
93,95176.7
94,96166.7
95,97218.13333333333
96,98310.7
97,99187.13333333333
98,100015.2
99,100861.8
100,101761.36666666667
101,102831.03333333333
102,103868.66666666667
103,105067.96666666666
104,105877.33333333333
105,107006.93333333333
106,108181.03333333333
107,109150.13333333333
108,109982.4
109,110862.09999999999
110,111817.09999999999
111,113011.63333333333
112,114102.8
113,115216.9
114,116176.13333333333
115,117030.3
116,117863.73333333334
117,118680.9
118,119608.3
119,120450.33333333333
120,121430.83333333333
121,122591.5
122,123782.43333333333
123,124774.9
124,125876.59999999999
125,126819.36666666667
126,127706.7
127,128577.3
128,129508.36666666667
129,130574.0
130,131573.5
131,132727.83333333334
132,133811.26666666666
133,134691.46666666667
134,135584.96666666667
135,136593.56666666665
136,137407.13333333333
137,138580.43333333332
138,139679.6
139,140587.13333333333
140,141558.53333333333
141,142500.56666666665
142,143695.23333333334
143,144691.23333333334
144,145829.5
145,146678.83333333334
146,147876.46666666667
147,148729.5
148,149746.0
